"Recorded Crime Offences (Number) by Garda Division, Type of Offence and"
"Quarter"

" "," ","2015Q1","2015Q2","2015Q3","2015Q4"
"1 ,Northern Region"
" ","01 ,Homicide offences",1,1,5,3
" ","0111 ,Murder",0,0,4,2
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,1,1,1
" ","02 ,Sexual offences",76,78,53,55
" ","021 ,Rape and sexual assault",74,75,48,47
" ","022 ,Other sexual offences",2,3,5,8
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",493,490,600,528
" ","0311 ,Murder-attempt",0,0,0,1
" ","0312 ,Murder-threat",16,20,28,16
" ","033 ,Harassment and related offences",70,47,46,55
" ","034 ,Assault causing harm, poisoning",102,114,129,118
" ","035 ,Other assault",305,309,397,338
" ","04 ,Dangerous or negligent acts",209,226,245,278
" ","0411 ,Dangerous driving causing serious bodily harm",0,2,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",199,211,227,265
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",2,4,1,5
" ","0421 ,Endangerment with potential for serious harm/death",1,5,3,4
" ","0422 ,Abandoning a child, child neglect and cruelty",7,0,8,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,1,1,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,3,5,3
" ","05 ,Kidnapping and related offences",6,3,5,3
" ","0511 ,False imprisonment",3,2,3,2
" ","0512 ,Abduction of person under 16 years of age",1,1,0,0
" ","0513 ,Human trafficking offences",2,0,2,1
" ","06 ,Robbery, extortion and hijacking offences",50,35,35,27
" ","0611 ,Robbery of an establishment or institution",25,17,14,12
" ","0612 ,Robbery of cash or goods in transit",1,0,0,0
" ","0613 ,Robbery from the person",21,15,20,12
" ","0621 ,Blackmail or extortion",1,2,1,2
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",2,1,0,1
" ","07 ,Burglary and related offences",519,561,594,469
" ","0711 ,Aggravated burglary",6,5,7,8
" ","0712 ,Burglary (not aggravated)",512,553,579,455
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",1,3,8,6
" ","08 ,Theft and related offences",1200,1297,1324,1238
" ","081 ,Theft/taking of vehicle and related offences",137,173,122,113
" ","0821 ,Theft from person",26,21,24,25
" ","0822 ,Theft from shop",374,373,368,438
" ","084 ,Other thefts, handling stolen property",663,730,810,662
" ","09 ,Fraud, deception and related offences",149,116,134,115
" ","10 ,Controlled drug offences",225,222,174,226
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",6,7,10,9
" ","1021 ,Possession of drugs for sale or supply",32,36,38,57
" ","1022 ,Possession of drugs for personal use",176,171,124,158
" ","103 ,Other drug offences",11,8,2,2
" ","11 ,Weapons and Explosives Offences",44,46,40,66
" ","111 ,Explosives, chemical weapons offences",0,3,2,1
" ","1121 ,Discharging a firearm",5,4,4,4
" ","1122 ,Possession of a firearm",2,6,1,3
" ","113 ,Offensive weapons offences (n.e.c.)",36,33,32,46
" ","114 ,Fireworks offences",1,0,1,12
" ","12 ,Damage to property and to the environment",632,746,715,717
" ","1211 ,Arson",37,57,69,58
" ","1212 ,Criminal damage (not arson)",570,665,631,647
" ","1221 ,Litter offences",25,24,15,12
" ","13 ,Public order and other social code offences",703,807,943,887
" ","131 ,Disorderly conduct",629,687,822,800
" ","132 ,Trespass offences",43,72,65,45
" ","133 ,Liquor licensing offences",24,31,40,28
" ","134 ,Prostitution offences",1,7,7,1
" ","135 ,Regulated betting/money, collection/trading offences",1,5,5,7
" ","136 ,Social code offences (n.e.c.)",5,5,4,6
" ","15 ,Offences against government, justice procedures and organisation of crime",158,179,176,210
" ","151 ,Offences against government and its agents",11,11,9,11
" ","152 ,Organisation of crime and conspiracy to commit crime",2,0,0,0
" ","153 ,Perverting the course of justice",3,1,0,1
" ","157 ,Offences while in custody, breach of court orders",142,167,167,198
"11 ,Cavan/Monaghan Garda Division"
" ","01 ,Homicide offences",0,0,1,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,1,0
" ","02 ,Sexual offences",20,23,11,9
" ","021 ,Rape and sexual assault",20,21,10,7
" ","022 ,Other sexual offences",0,2,1,2
" ","03 ,Attempts/Threats to murder, assaults, harassments and related offences",141,120,149,147
" ","0311 ,Murder-Attempt",0,0,0,0
" ","0312 ,Murder-threat",1,1,2,3
" ","033 ,Harassment and related offences",14,14,11,16
" ","034 ,Assault causing harm, poisoning",40,31,42,27
" ","035 ,Other assault",86,74,94,101
" ","04 ,Dangerous or negligent acts",81,80,72,89
" ","0411 ,Dangerous driving causing serious bodily harm",0,1,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",76,77,68,85
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",0,1,0,0
" ","0421 ,Endangerment with potential for serious harm/death",0,1,1,2
" ","0422 ,Abandoning a child, child neglect and cruelty",5,0,3,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,0,0,1
" ","05 ,Kidnapping and related offences",0,1,2,1
" ","0511 ,False imprisonment",0,0,2,1
" ","0512 ,Abduction of person under 16 years of age",0,1,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",6,5,6,1
" ","0611 ,Robbery of an establishment or institution",5,0,2,1
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",1,5,4,0
" ","0621 ,Blackmail or extortion",0,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",75,102,145,107
" ","0711 ,Aggravated burglary",0,3,0,1
" ","0712 ,Burglary (not aggravated)",75,98,142,104
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",0,1,3,2
" ","08 ,Theft and related offences",244,268,308,292
" ","081 ,Theft/taking of vehicle and related offences",26,29,36,37
" ","0821 ,Theft from person",7,5,2,3
" ","0822 ,Theft from shop",79,79,81,90
" ","084 ,Other thefts, handling stolen property",132,155,189,162
" ","09 ,Fraud, deception and related offences",37,32,33,32
" ","10 ,Controlled drug offences",53,61,47,70
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",1,2,2,3
" ","1021 ,Possession of drugs for sale or supply",9,17,20,28
" ","1022 ,Possession of drugs for personal use",39,41,25,39
" ","103 ,Other drug offences",4,1,0,0
" ","11 ,Weapons and Explosives Offences",5,8,12,18
" ","111 ,Explosives, chemical weapons offences",0,0,1,1
" ","1121 ,Discharging a firearm",0,1,1,1
" ","1122 ,Possession of a firearm",1,1,0,1
" ","113 ,Offensive weapons offences (n.e.c.)",4,6,10,13
" ","114 ,Fireworks offences",0,0,0,2
" ","12 ,Damage to property and to the environment",107,138,152,166
" ","1211 ,Arson",6,9,8,12
" ","1212 ,Criminal damage (not arson)",93,118,136,152
" ","1221 ,Litter offences",8,11,8,2
" ","13 ,Public order and other social code offences",175,204,279,223
" ","131 ,Disorderly conduct",166,172,242,196
" ","132 ,Trespass offences",4,16,19,18
" ","133 ,Liquor licensing offences",4,7,10,7
" ","134 ,Prostitution offences",1,6,5,0
" ","135 ,Regulated betting/money, collection/trading offences",0,2,1,0
" ","136 ,Social code offences (n.e.c.)",0,1,2,2
" ","15 ,Offences against government, justice procedures and organisation of crime",25,47,43,73
" ","151 ,Offences against government and its agents",3,0,4,3
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,0
" ","157 ,Offences while in custody, breach of court orders",22,47,39,70
"12 ,Donegal Garda Division"
" ","01 ,Homicide offences",0,0,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",26,25,25,20
" ","021 ,Rape and sexual assault",26,25,23,16
" ","022 ,Other sexual offences",0,0,2,4
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",185,149,228,168
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",8,5,15,5
" ","033 ,Harassment and related offences",37,16,19,18
" ","034 ,Assault causing harm, poisoning",31,35,49,41
" ","035 ,Other assault",109,93,145,104
" ","04 ,Dangerous or negligent acts",61,88,92,95
" ","0411 ,Dangerous driving causing serious bodily harm",0,1,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",57,82,84,89
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",1,2,1,5
" ","0421 ,Endangerment with potential for serious harm/death",1,2,2,0
" ","0422 ,Abandoning a child, child neglect and cruelty",2,0,4,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,1,1,1
" ","05 ,Kidnapping and related offences",2,0,1,0
" ","0511 ,False imprisonment",2,0,0,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,1,0
" ","06 ,Robbery, extortion and hijacking offences",6,8,3,10
" ","0611 ,Robbery of an establishment or institution",2,4,1,6
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",1,3,2,3
" ","0621 ,Blackmail or extortion",1,1,0,1
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",2,0,0,0
" ","07 ,Burglary and related offences",80,74,86,83
" ","0711 ,Aggravated burglary",0,0,1,1
" ","0712 ,Burglary (not aggravated)",80,74,85,81
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",0,0,0,1
" ","08 ,Theft and related offences",218,239,247,242
" ","081 ,Theft/taking of vehicle and related offences",20,34,21,26
" ","0821 ,Theft from person",8,3,5,9
" ","0822 ,Theft from shop",59,60,81,77
" ","084 ,Other thefts, handling stolen property",131,142,140,130
" ","09 ,Fraud, deception and related offences",34,26,35,21
" ","10 ,Controlled drug offences",50,67,48,51
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",1,1,3,4
" ","1021 ,Possession of drugs for sale or supply",5,7,6,7
" ","1022 ,Possession of drugs for personal use",38,56,39,40
" ","103 ,Other drug offences",6,3,0,0
" ","11 ,Weapons and Explosives Offences",15,10,5,14
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",2,0,2,1
" ","1122 ,Possession of a firearm",1,1,0,1
" ","113 ,Offensive weapons offences (n.e.c.)",12,9,3,8
" ","114 ,Fireworks offences",0,0,0,4
" ","12 ,Damage to property and to the environment",145,172,181,175
" ","1211 ,Arson",4,13,13,16
" ","1212 ,Criminal damage (not arson)",138,156,165,156
" ","1221 ,Litter offences",3,3,3,3
" ","13 ,Public order and other social code offences",230,284,313,295
" ","131 ,Disorderly conduct",212,252,275,270
" ","132 ,Trespass offences",10,10,18,9
" ","133 ,Liquor licensing offences",8,19,17,12
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",0,1,2,2
" ","136 ,Social code offences (n.e.c.)",0,2,1,2
" ","15 ,Offences against government, justice procedures and organisation of crime",30,41,46,43
" ","151 ,Offences against government and its agents",3,6,3,5
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",2,0,0,0
" ","157 ,Offences while in custody, breach of court orders",25,35,43,38
"13 ,Sligo/Leitrim Garda Division"
" ","01 ,Homicide offences",1,1,1,2
" ","0111 ,Murder",0,0,1,1
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,1,0,1
" ","02 ,Sexual offences",14,12,2,13
" ","021 ,Rape and sexual assault",12,12,2,13
" ","022 ,Other sexual offences",2,0,0,0
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",59,73,97,79
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",3,2,6,1
" ","033 ,Harassment and related offences",10,8,13,12
" ","034 ,Assault causing harm, poisoning",5,22,19,20
" ","035 ,Other assault",41,41,59,46
" ","04 ,Dangerous or negligent acts",35,22,41,42
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",34,20,37,40
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",1,0,0,0
" ","0421 ,Endangerment with potential for serious harm/death",0,1,0,2
" ","0422 ,Abandoning a child, child neglect and cruelty",0,0,1,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,1,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,1,2,0
" ","05 ,Kidnapping and related offences",2,0,1,1
