Location,Crime type,Longitude,Latitude
On or near Westrock Square,Anti-social behaviour,-5.972905,54.59362
On or near Cloghcor Lane,Anti-social behaviour,-7.540681,54.314793
On or near Stormount Lane,Anti-social behaviour,-5.902666,54.594328
On or near Ormeau Road,Anti-social behaviour,-5.923238,54.585967
On or near Carthall Manor,Anti-social behaviour,-6.68812,55.132131
On or near Ash Green,Anti-social behaviour,-5.837703,54.631488
On or near Stormount Lane,Anti-social behaviour,-5.902666,54.594328
On or near Gamble Park,Anti-social behaviour,-7.544973,54.71128
On or near West Green,Anti-social behaviour,-5.842249,54.633384
On or near Queens Park,Anti-social behaviour,-5.830172,54.458072
On or near Lincoln Square,Anti-social behaviour,-5.95085,54.595585
On or near Mayfield Avenue,Anti-social behaviour,-5.980837,54.667465
On or near Donore Crescent,Anti-social behaviour,-6.185478,54.713353
On or near Cumberland Drive,Anti-social behaviour,-5.816038,54.590117
On or near Colinward Street,Anti-social behaviour,-5.962251,54.600908
On or near ,Anti-social behaviour,-6.008249,54.569777
On or near Galliagh Park,Anti-social behaviour,-7.332142,55.02942
On or near Union Street,Anti-social behaviour,-6.332794,54.459918
On or near ,Anti-social behaviour,-5.923238,54.596012
On or near Market Square,Anti-social behaviour,-6.045402,54.511092
On or near ,Anti-social behaviour,-6.240897,55.205156
On or near Lambfield Meadows,Anti-social behaviour,-6.760148,54.515325
On or near ,Anti-social behaviour,-6.309535,54.381779
On or near ,Anti-social behaviour,-5.916963,54.662493
On or near Lincoln Court,Anti-social behaviour,-7.299738,54.994619
On or near Cranlee Park,Anti-social behaviour,-7.267724,55.051165
On or near Castle Street,Anti-social behaviour,-5.746873,54.550939
On or near Foxborough,Anti-social behaviour,-6.785039,54.513278
On or near Montrose Walk,Anti-social behaviour,-5.898585,54.597851
On or near ,Anti-social behaviour,-6.272525,54.846271
On or near ,Anti-social behaviour,-5.975075,54.622525
On or near ,Anti-social behaviour,-6.23121,54.729033
On or near Henley Hall,Anti-social behaviour,-6.143073,54.473908
On or near Clifton Courtyard,Anti-social behaviour,-5.952522,54.619297
On or near Allworthy Avenue,Anti-social behaviour,-5.938026,54.615691
On or near The Square,Anti-social behaviour,-5.744677,54.550674
On or near Linenhall Street,Anti-social behaviour,-6.65275,54.346343
On or near Blighs Gardens,Anti-social behaviour,-7.339614,54.994392
On or near ,Anti-social behaviour,-5.707979,54.592305
On or near Highfield Road,Anti-social behaviour,-6.616793,54.752365
On or near Clandeboye Street,Anti-social behaviour,-5.899932,54.593948
On or near Osborne Gardens,Anti-social behaviour,-5.952694,54.569937
On or near Divis Street,Anti-social behaviour,-5.943156,54.600252
On or near The Green,Anti-social behaviour,-5.673955,54.64733
On or near Chesham Grove,Anti-social behaviour,-5.905018,54.584988
On or near The Diamond,Anti-social behaviour,-7.322021,54.995338
On or near Bedford Street,Anti-social behaviour,-5.931179,54.593507
On or near Wesley Street,Anti-social behaviour,-6.033432,54.51468
On or near Mount Vernon,Anti-social behaviour,-7.268482,55.047361
On or near ,Anti-social behaviour,-5.917088,54.689423
On or near James Street,Anti-social behaviour,-6.275476,54.86067
On or near Henry Street,Anti-social behaviour,-6.510976,55.070238
On or near Newtown Road,Anti-social behaviour,-6.448101,54.177856
On or near Inchkeith Road,Anti-social behaviour,-6.260549,54.859019
On or near Oak Grove Manor,Anti-social behaviour,-6.213458,54.587645
On or near John Street,Anti-social behaviour,-5.698051,54.59165
On or near Market Street,Anti-social behaviour,-5.719564,54.325094
On or near ,Anti-social behaviour,-6.341362,54.164088
On or near Corcrain Mews,Anti-social behaviour,-6.459865,54.428758
On or near Craigavon Avenue,Anti-social behaviour,-6.450309,54.419813
On or near Willowfield,Anti-social behaviour,-6.416888,54.359992
On or near Rank Road,Anti-social behaviour,-5.796024,54.589125
On or near Groves End Gardens,Anti-social behaviour,-6.658817,55.146572
On or near Farnamullan Road,Anti-social behaviour,-7.538076,54.31552
On or near ,Anti-social behaviour,-5.984218,54.592318
On or near Forthriver Link,Anti-social behaviour,-5.977773,54.618383
On or near Desart Lane Gardens,Anti-social behaviour,-6.6681,54.353404
On or near Ballarat Street,Anti-social behaviour,-5.912671,54.59203
On or near Fearon Close,Anti-social behaviour,-6.021447,54.064089
On or near Craigavon Avenue,Anti-social behaviour,-6.449858,54.419942
On or near Bann Road,Anti-social behaviour,-6.522473,55.059464
On or near Dundalk Street,Anti-social behaviour,-6.575684,54.188526
On or near Ballarat Street,Anti-social behaviour,-5.911055,54.592164
On or near Ravenhill Parade,Anti-social behaviour,-5.901707,54.584392
On or near Rectory Park,Anti-social behaviour,-5.525565,54.487539
On or near Union Place,Anti-social behaviour,-6.744211,54.648077
On or near Broom Park,Anti-social behaviour,-6.026048,54.548002
On or near Fearon Close,Anti-social behaviour,-6.022237,54.063859
On or near Prospect Place,Anti-social behaviour,-6.278027,54.863293
On or near Riada Close,Anti-social behaviour,-5.899808,54.601152
On or near Bannview Park,Anti-social behaviour,-6.51979,55.057958
On or near Hillmount Drive,Anti-social behaviour,-5.828466,54.533051
On or near Mourne Walk,Anti-social behaviour,-7.383899,54.716308
On or near Mill Street,Anti-social behaviour,-6.339799,54.173671
On or near Altmore Gardens,Anti-social behaviour,-6.351678,54.174185
On or near Bush Road,Anti-social behaviour,-6.184973,54.732986
On or near ,Anti-social behaviour,-5.450219,54.470579
On or near Railway Street,Anti-social behaviour,-6.043742,54.512557
On or near Coronation Park,Anti-social behaviour,-5.808946,54.585029
On or near Abbey Road,Anti-social behaviour,-5.529113,54.607699
On or near ,Anti-social behaviour,-6.041512,54.506869
On or near Leeson Street,Anti-social behaviour,-5.952135,54.597421
On or near Boundary Street,Anti-social behaviour,-5.941064,54.601834
On or near Antrim Road,Anti-social behaviour,-5.935936,54.612331
On or near Lough Shore Road,Anti-social behaviour,-7.71676,54.400589
On or near St James Mews,Anti-social behaviour,-5.936449,54.609842
On or near Milltown Crescent,Anti-social behaviour,-7.28196,54.975238
On or near Mountcollyer Street,Anti-social behaviour,-5.928364,54.616649
On or near Antrim Road,Anti-social behaviour,-5.935936,54.610192
On or near Railway Place,Anti-social behaviour,-6.663686,55.133707
On or near Fearon Close,Anti-social behaviour,-6.021447,54.064089
On or near Avonmore Park,Anti-social behaviour,-6.057688,54.498855
On or near ,Anti-social behaviour,-5.985613,54.669324
On or near Willowfield Street,Anti-social behaviour,-5.901617,54.591264
On or near Shackleton Walk,Anti-social behaviour,-5.705956,54.580388
On or near Kenbella Parade,Anti-social behaviour,-5.939027,54.62622
On or near Brianville Park,Anti-social behaviour,-5.629229,54.655457
On or near Heath Lodge Square,Anti-social behaviour,-5.985066,54.605845
On or near Glendale Park,Anti-social behaviour,-5.908562,54.557187
On or near ,Anti-social behaviour,-5.935297,54.6888
On or near Ballymurphy Parade,Anti-social behaviour,-5.983858,54.59427
On or near Glastry Gardens,Anti-social behaviour,-5.697005,54.650161
On or near ,Anti-social behaviour,-6.661786,54.348429
On or near ,Anti-social behaviour,-5.824601,54.720458
On or near Kimona Drive,Anti-social behaviour,-5.88706,54.604066
On or near Ballycolman Estate,Anti-social behaviour,-7.459773,54.817926
On or near Black Mountain Walk,Anti-social behaviour,-5.981579,54.602508
On or near Burnreagh Court,Anti-social behaviour,-5.669968,54.58838
On or near ,Anti-social behaviour,-5.996178,54.589803
On or near Bellahill Road,Anti-social behaviour,-5.772746,54.770443
On or near ,Anti-social behaviour,-5.747998,54.552119
On or near Hampton Drive,Anti-social behaviour,-5.647081,54.638859
On or near Main Street,Anti-social behaviour,-5.533268,54.487508
On or near ,Anti-social behaviour,-6.237284,54.742167
On or near Hampton Drive,Anti-social behaviour,-5.647081,54.638859
On or near North Road,Anti-social behaviour,-5.807456,54.719753
On or near Tartnakilly Road,Anti-social behaviour,-7.025913,55.01493
On or near Strathmore Park North,Anti-social behaviour,-5.938259,54.636181
On or near Roe Mill Road,Anti-social behaviour,-6.953791,55.047685
On or near Linn Road,Anti-social behaviour,-5.83955,54.850711
On or near Garrymore,Anti-social behaviour,-6.36349,54.437338
On or near Hornby Street,Anti-social behaviour,-5.897042,54.597177
On or near Cherry Drive,Anti-social behaviour,-7.178913,55.026075
On or near Glenburn Park,Anti-social behaviour,-6.267335,54.87544
On or near Park Road,Anti-social behaviour,-6.447324,54.424609
On or near Hollybank Drive,Anti-social behaviour,-5.907422,54.685878
On or near Saintfield Road,Anti-social behaviour,-5.910804,54.563829
On or near The Brambles,Anti-social behaviour,-6.610383,54.76265
On or near Meadowvale Avenue,Anti-social behaviour,-5.888472,54.513071
On or near ,Anti-social behaviour,-5.807068,54.727806
On or near Tillysburn Drive,Anti-social behaviour,-5.860942,54.613931
On or near Strangford View,Anti-social behaviour,-5.650512,54.398064
On or near Hampton Drive,Anti-social behaviour,-5.647081,54.638859
On or near Seymour Street,Anti-social behaviour,-5.924849,54.597496
On or near Masteragwee Road,Anti-social behaviour,-6.728034,55.139651
On or near Drumadd Road,Anti-social behaviour,-6.639936,54.349721
On or near Earl Close,Anti-social behaviour,-5.928221,54.608794
On or near Dougans Road,Anti-social behaviour,-6.021015,54.085369
On or near Earl Close,Anti-social behaviour,-5.928221,54.608794
On or near Rosebrook Avenue,Anti-social behaviour,-5.808829,54.718754
On or near ,Anti-social behaviour,-5.758572,54.632097
On or near Antrim Road,Anti-social behaviour,-5.938485,54.618871
On or near Horace Street,Anti-social behaviour,-7.319723,54.993609
On or near ,Anti-social behaviour,-6.437169,54.420596
On or near Groves End Gardens,Anti-social behaviour,-6.659076,55.14635
On or near Earl Haig Park,Anti-social behaviour,-5.902839,54.583135
On or near Victoria Gardens,Anti-social behaviour,-6.272815,54.350855
On or near Montgomery Road,Anti-social behaviour,-5.892035,54.577574
On or near Tullynacross Road,Anti-social behaviour,-6.022969,54.528275
On or near Hallidays Road,Anti-social behaviour,-5.935501,54.613285
On or near Barr Cregg,Anti-social behaviour,-7.158906,54.915179
On or near Frances Street,Anti-social behaviour,-5.692815,54.593401
On or near Carnagat Park,Anti-social behaviour,-6.356495,54.182849
On or near Market Place,Anti-social behaviour,-6.047962,54.509543
On or near The Point,Anti-social behaviour,-7.634071,54.342405
On or near Primity Crescent,Anti-social behaviour,-7.352045,54.955995
On or near Carlisle Circus,Anti-social behaviour,-5.936493,54.607453
On or near Burnview Terrace,Anti-social behaviour,-6.266093,54.352322
On or near Beltany Road,Anti-social behaviour,-7.330341,54.617056
On or near Mcauley Park,Anti-social behaviour,-6.2619,55.200444
On or near Burnreagh Court,Anti-social behaviour,-5.670226,54.588727
On or near ,Anti-social behaviour,-6.409565,54.428034
On or near Atlantic Avenue,Anti-social behaviour,-5.937429,54.615573
On or near St. Eithne'S Park,Anti-social behaviour,-7.35269,55.012931
On or near Woodlawn Villas,Anti-social behaviour,-5.830089,54.72203
On or near Dunraven Crescent,Anti-social behaviour,-5.883901,54.589778
On or near Market Lane,Anti-social behaviour,-5.716689,54.327879
On or near Cullybackey Road,Anti-social behaviour,-6.280561,54.865971
On or near Bank Street,Anti-social behaviour,-5.931852,54.599458
On or near Forthriver Link,Anti-social behaviour,-5.977773,54.618383
On or near Summerhill Court,Anti-social behaviour,-5.945862,54.612275
On or near Greenvale,Anti-social behaviour,-6.925965,55.040409
On or near Queen Street,Anti-social behaviour,-5.933011,54.599199
On or near Bush Road,Anti-social behaviour,-6.71069,54.529506
On or near Burneys Mews,Anti-social behaviour,-5.967857,54.67502
On or near Montgomery Road,Anti-social behaviour,-5.892035,54.577574
On or near George Street,Anti-social behaviour,-6.278889,54.864986
On or near Glenside Park,Anti-social behaviour,-5.977073,54.620007
On or near ,Anti-social behaviour,-5.654131,54.613018
On or near Parkville Court,Anti-social behaviour,-5.939712,54.625226
On or near Drumawill Park,Anti-social behaviour,-7.664019,54.33164
On or near ,Anti-social behaviour,-5.906939,54.55537
On or near ,Anti-social behaviour,-6.666223,55.138523
On or near Linenhall Street,Anti-social behaviour,-6.65275,54.346343
On or near Sawel Place,Anti-social behaviour,-6.057433,54.512032
On or near Earlswood Road,Anti-social behaviour,-5.870731,54.596645
On or near ,Anti-social behaviour,-6.056057,54.505558
On or near Edward Street,Anti-social behaviour,-6.33856,54.178201
On or near Fort Hill Road,Anti-social behaviour,-6.320497,54.174545
On or near ,Anti-social behaviour,-5.742969,54.551927
On or near Pinebank,Anti-social behaviour,-6.366509,54.454036
On or near Moyad Road,Anti-social behaviour,-6.024312,54.091892
On or near Castleburn Avenue,Anti-social behaviour,-5.780597,54.728959
On or near Saul Road,Anti-social behaviour,-5.694349,54.335874
