name,opening_hours,amenity,capacity,contact:email,contact:phone,ref,latitude,longitude
Gasworks (Cromac Street),06:00-00:00,bicycle_rental,12,belfastbikes@nsl.co.uk,+44 34 3357 1551,3907,54.5921715,-5.9255467
Corporation Square,06:00-00:00,bicycle_rental,14,belfastbikes@nsl.co.uk,+44 34 3357 1551,3922,54.6049485,-5.9215345
Gasworks (Lagan Towpath),06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3927,54.5912531,-5.9226342
Dunbar Link / Gordon Street,06:00-00:00,bicycle_rental,8,belfastbikes@nsl.co.uk,+44 34 3357 1551,3916,54.602433,-5.9255068
Waterfront,06:00-00:00,bicycle_rental,24,belfastbikes@nsl.co.uk,+44 34 3357 1551,3908,54.5972712,-5.9211082
Donegall Quay,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3904,54.6014465,-5.922009
Victoria Square / Victoria Street,06:00-00:00,bicycle_rental,10,belfastbikes@nsl.co.uk,+44 34 3357 1551,3903,54.5982034,-5.9240327
Castle Place / Royal Avenue,06:00-00:00,bicycle_rental,22,belfastbikes@nsl.co.uk,+44 34 3357 1551,3912,54.5993582,-5.9298436
City Hall,06:00-00:00,bicycle_rental,20,belfastbikes@nsl.co.uk,+44 34 3357 1551,3902,54.5971826,-5.9308289
St George's Market / Cromac Square,06:00-00:00,bicycle_rental,12,belfastbikes@nsl.co.uk,+44 34 3357 1551,3906,54.5952546,-5.9236798
Royal Avenue / Castlecourt,06:00-00:00,bicycle_rental,12,belfastbikes@nsl.co.uk,+44 34 3357 1551,3925,54.6013191,-5.9313084
North Street / Waring Street,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3917,54.6007847,-5.9282212
Arthur Street / Chichester Street,06:00-00:00,bicycle_rental,18,belfastbikes@nsl.co.uk,+44 34 3357 1551,3929,54.597573,-5.9276633
Linenhall Street / Donegall Square South,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3928,54.5958433,-5.9298788
Alfred Street / St Malachy's Church,06:00-00:00,bicycle_rental,14,belfastbikes@nsl.co.uk,+44 34 3357 1551,3923,54.5947014,-5.9274273
Cotton Court / Waring Street,06:00-00:00,bicycle_rental,12,belfastbikes@nsl.co.uk,+44 34 3357 1551,3926,54.6014233,-5.9258501
Central Station / East Bridge Street,06:00-00:00,bicycle_rental,20,belfastbikes@nsl.co.uk,+44 34 3357 1551,3930,54.5953696,-5.9193029
Central Station / Mays Meadow,06:00-00:00,bicycle_rental,20,belfastbikes@nsl.co.uk,+44 34 3357 1551,3905,54.5953307,-5.9164541
Botanic Avenue / Shaftesbury Square,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3909,54.5893166,-5.933532
Odyssey / Sydenham Road,06:00-00:00,bicycle_rental,22,belfastbikes@nsl.co.uk,+44 34 3357 1551,3921,54.6039495,-5.9172403
Titanic Quarter,06:00-00:00,bicycle_rental,18,belfastbikes@nsl.co.uk,+44 34 3357 1551,3932,54.6057386,-5.9112898
Queens University / University Road,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3933,54.5843803,-5.9367269
Queens University / Botanic Gardens,06:00-00:00,bicycle_rental,14,belfastbikes@nsl.co.uk,+44 34 3357 1551,3934,54.5839495,-5.9328105
Carrick Hill / St Patricks Church,06:00-00:00,bicycle_rental,12,belfastbikes@nsl.co.uk,+44 34 3357 1551,3915,54.6049929,-5.932833
Cathedral Gardens / York Street,06:00-00:00,bicycle_rental,20,belfastbikes@nsl.co.uk,+44 34 3357 1551,3914,54.6036469,-5.92928
Writer's Square / St Anne's Cathedral,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3931,54.6026064,-5.9297209
Millfield / Divis Street,06:00-00:00,bicycle_rental,18,belfastbikes@nsl.co.uk,+44 34 3357 1551,3920,54.5997012,-5.9363085
Smithfield / Winetavern Street,06:00-00:00,bicycle_rental,12,belfastbikes@nsl.co.uk,+44 34 3357 1551,3913,54.6021241,-5.9333409
College Square East,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3919,54.5974308,-5.9348201
Europa Bus Station / Blackstaff Square,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3910,54.5948186,-5.9331231
Great Victoria Street / Hope Street,06:00-00:00,bicycle_rental,18,belfastbikes@nsl.co.uk,+44 34 3357 1551,3911,54.5934652,-5.9343639
Bankmore Square / Dublin Road,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3918,54.5926926,-5.9315184
Bradbury Place,06:00-00:00,bicycle_rental,16,belfastbikes@nsl.co.uk,+44 34 3357 1551,3924,54.5881623,-5.9355202
Belfast City Hospital / Lisburn Road,06:00-00:00,bicycle_rental,14,belfastbikes@nsl.co.uk,+44 34 3357 1551,3935,54.5865476,-5.9399419
