STREET NAME / ADDRESS,DATE GRANTED
GREENVILLE AVENUE,08-Oct-08
PRUSSIA STREET,29-Jul-08
,16-Jul-08
HANNAVILLE PARK,23-Aug-08
EFFRA ROAD,24-Feb-09
LEINSTER ROAD,20-Aug-08
PEMBROKE ROAD,01-Sep-09
PEMBROKE COTTAGES,04-Jul-08
GRAY STREET,11-Mar-09
GRATTAN PLACE,18-Dec-08
LEESON PARK,24-Jan-10
,05-Mar-09
KILLARNEY STREET,18-May-08
PORTOBELLO HARBOUR,25-May-09
,08-Jul-09
HADDINGTON ROAD,03-Jul-10
LEESON PARK,06-Jul-11
BELGRAVE SQUARE,09-Jul-11
VAVASOUR SQUARE,13-Jul-11
GRATTAN PARADE,16-Jul-11
ASHFIELD AVENUE,16-Jul-11
CLAUDE ROAD,14-Jul-11
MOUNTJOY SQUARE,06-Jul-11
GREENVILLE TERRACE,06-Jul-11
DARGLE ROAD,09-Jul-11
HAROLD'S CROSS ROAD,07-Jul-11
MOREHAMPTON ROAD,12-Jul-11
VICTORIA STREET,08-Jul-11
TYRCONNELL ROAD,08-Jul-11
SAINT JOSEPHS PARADE,09-Jul-11
NEW WAPPING STREET,13-Jul-11
PEMBROKE ROAD,21-Jul-11
CRAWFORD AVENUE,19-Jul-11
CRAWFORD AVENUE,19-Jul-11
CRESCENT VILLAS,19-Jul-11
CRESCENT VILLAS,19-Jul-11
CRESCENT VILLAS,19-Jul-11
PARKVIEW PLACE,19-Jul-11
CABRA PARK,19-Jul-11
SAINT JOHN'S ROAD,12-Jul-11
EMOR STREET,13-Jul-11
HOLLYBANK ROAD,13-Jul-11
O'CONNELL GARDENS,13-Jul-11
CRESCENT VILLAS,21-Jul-11
CRESCENT VILLAS,21-Jul-11
WARRENMOUNT PLACE,20-Jul-11
CRAWFORD AVENUE,20-Jul-11
GRAY STREET,20-Jul-11
ARRAN STREET EAST,21-Jul-11
PHIBSBOROUGH ROAD,23-Jul-11
ANGLESEA ROAD,27-Jul-11
RINGSEND ROAD,16-Jul-11
HASTINGS STREET,26-Jul-11
OAKLEY ROAD,26-Jul-11
BOTANIC ROAD,18-Aug-11
HOLLYBROOK ROAD,25-Aug-11
BOTANIC ROAD,25-Aug-11
BOTANIC ROAD,25-Aug-11
OLAF ROAD,26-Aug-11
GRANGEGORMAN UPPER,26-Aug-11
GRANGEGORMAN UPPER,30-Aug-11
,30-Aug-11
DARTMOUTH SQUARE,30-Aug-11
PEMBROKE ROAD,30-Aug-11
MOUNTPLEASANT SQUARE,30-Aug-11
MURTAGH ROAD,30-Aug-11
GRATTAN PARADE,30-Aug-11
YORK ROAD,30-Aug-11
BLOOMFIELD AVENUE,18-Aug-11
CONNAUGHT STREET,27-Aug-11
ASHDALE ROAD,27-Aug-11
SERPENTINE AVENUE,27-Aug-11
CARLINGFORD ROAD,27-Aug-11
MORNINGTON ROAD,27-Aug-11
HUME STREET,27-Aug-11
OXFORD ROAD,19-Aug-11
CHESTER ROAD,19-Aug-11
MURTAGH ROAD,26-Aug-11
CONNAUGHT STREET,26-Aug-11
CONNAUGHT STREET,26-Aug-11
NEVILLE ROAD,26-Aug-11
NEVILLE ROAD,26-Aug-11
CONNAUGHT STREET,26-Aug-11
CAMBRIDGE ROAD,26-Aug-11
MURTAGH ROAD,31-Aug-11
,31-Aug-11
HAROLD'S CROSS COTTAGES,20-Aug-11
CHURCH AVENUE WEST,20-Aug-11
EATON SQUARE,20-Aug-11
SHANDON ROAD,20-Aug-11
ARMSTRONG STREET,26-Aug-11
MOUNT EDEN ROAD,03-Aug-11
BELVEDERE ROAD,03-Aug-11
BOTANIC ROAD,17-Aug-11
KIMMAGE ROAD LOWER,28-Jul-11
MANOR PLACE,04-Aug-11
MANOR PLACE,04-Aug-11
HAROLD'S CROSS ROAD,13-Aug-11
CONNAUGHT STREET,23-Aug-11
SYNGE STREET,28-Jul-11
PALMERSTON PARK,04-Aug-11
PALMERSTON ROAD,04-Aug-11
CRAWFORD AVENUE,30-Jul-11
PALMERSTON PARK,12-Aug-11
ARNOTT STREET,30-Jul-11
HAROLD'S CROSS COTTAGES,11-Aug-11
LAD LANE,28-Jul-11
AUBURN AVENUE,12-Aug-11
GROSVENOR ROAD,16-Aug-11
ORMOND ROAD SOUTH,12-Aug-11
ANGLESEA ROAD,12-Aug-11
PALMERSTON PARK,13-Aug-11
PALMERSTON PARK,13-Aug-11
RAYMOND STREET,13-Aug-11
PALMERSTON ROAD,03-Aug-11
PALMERSTON ROAD,03-Aug-11
PALMERSTON PARK,03-Aug-11
CRAWFORD AVENUE,03-Aug-11
RICHVIEW PARK,11-Aug-11
RICHVIEW PARK,11-Aug-11
SAINT ANNE'S ROAD NORTH,30-Jul-11
CONNAUGHT STREET,23-Aug-11
SYNGE STREET,16-Aug-11
SAINT BRIGID'S ROAD UPPER,16-Aug-11
HOLLYBANK ROAD,17-Aug-11
MOUNTSHANNON ROAD,19-Aug-11
KENILWORTH SQUARE,05-Aug-11
PALMERSTON PARK,10-Aug-11
PEMBROKE GARDENS,23-Aug-11
CONNAUGHT STREET,23-Aug-11
NORTHBROOK AVENUE,23-Aug-11
CONNAUGHT STREET,23-Aug-11
CONNAUGHT STREET,23-Aug-11
BOTANIC ROAD,18-Aug-11
BEECHWOOD AVENUE UPPER,19-Aug-11
CHELMSFORD AVENUE,19-Aug-11
HAROLD'S CROSS ROAD,20-Aug-11
CONNAUGHT STREET,26-Aug-11
TERENURE PARK,12-Aug-11
ZUMA TERRACE,12-Aug-11
RANELAGH ROAD,12-Aug-11
PRINCE ARTHUR TERRACE,24-Aug-11
NUTLEY AVENUE,24-Aug-11
CONNAUGHT STREET,23-Aug-11
CONNAUGHT STREET,23-Aug-11
SAINT BRENDAN'S ROAD,23-Aug-11
CONNAUGHT STREET,23-Aug-11
VIKING ROAD,27-Aug-11
BOTANIC ROAD,25-Aug-11
SITRIC ROAD,25-Aug-11
CHARLEVILLE ROAD,25-Aug-11
SAINT BRENDAN'S ROAD,24-Aug-11
MAYFIELD ROAD,24-Aug-11
CONNAUGHT STREET,24-Aug-11
CONNAUGHT STREET,30-Aug-11
MURTAGH ROAD,30-Aug-11
GRANGEGORMAN UPPER,30-Aug-11
GRANGEGORMAN UPPER,30-Aug-11
MURTAGH ROAD,30-Aug-11
GRANGEGORMAN UPPER,30-Aug-11
CRAWFORD AVENUE,30-Aug-11
FENIAN STREET,30-Aug-11
CREIGHTON STREET,15-Nov-11
CREIGHTON STREET,15-Nov-11
WESLEY ROAD,17-Nov-11
SAINT BRENDAN'S ROAD,17-Nov-11
ASHDALE ROAD,17-Nov-11
ASHDALE ROAD,17-Nov-11
BAGGOT COURT,17-Nov-11
NORTHBROOK ROAD,08-Nov-11
EGLINTON ROAD,17-Nov-11
GARVILLE AVENUE,25-Nov-11
WILFIELD PARK,29-Nov-11
XAVIER AVENUE,29-Nov-11
CUFFE LANE,07-Dec-11
BELGRAVE SQUARE,09-Dec-11
WATERLOO AVENUE,18-Nov-11
GROSVENOR VILLAS,19-Nov-11
WATERLOO AVENUE,19-Nov-11
HADDINGTON ROAD,30-Nov-11
CHURCH AVENUE WEST,01-Dec-11
THE CRESCENT,02-Dec-11
YORK ROAD,02-Dec-11
BOTANIC ROAD,02-Dec-11
GROVE PARK,10-Dec-11
MOUNTSHANNON ROAD,19-Nov-11
DARTMOUTH SQUARE,19-Nov-11
DARTMOUTH SQUARE,19-Nov-11
DARTMOUTH SQUARE,19-Nov-11
GROSVENOR ROAD,06-Dec-11
ARGYLE ROAD,06-Dec-11
AUBURN AVENUE,06-Dec-11
GULISTAN TERRACE,06-Dec-11
LURGAN STREET,08-Dec-11
KILLARNEY PARADE,02-Dec-11
REGINALD STREET,06-Dec-11
ADELAIDE ROAD,13-Dec-11
BROOKFIELD ROAD,08-Dec-11
EFFRA ROAD,08-Dec-11
CLYDE ROAD,08-Dec-11
MOUNT STREET CRESCENT,09-Dec-11
OAKLANDS PARK,10-Dec-11
MERRION SQUARE SOUTH,07-Dec-11
BRIGHTON ROAD,13-Dec-11
KILLEEN ROAD,13-Dec-11
CONNAUGHT STREET,13-Dec-11
CONNAUGHT STREET,13-Dec-11
SITRIC ROAD,13-Dec-11
SERPENTINE AVENUE,24-Nov-11
LEINSTER ROAD WEST,10-Dec-11
SUNBURY GARDENS,10-Dec-11
HAROLD ROAD,10-Dec-11
EDENVALE ROAD,10-Dec-11
HASTINGS STREET,09-Dec-11
MERLYN ROAD,13-Dec-11
MERLYN ROAD,13-Dec-11
OAKLEY ROAD,29-Nov-11
MERLYN DRIVE,13-Dec-11
MERLYN DRIVE,13-Dec-11
MERLYN ROAD,13-Dec-11
MERLYN ROAD,13-Dec-11
HARTY PLACE,13-Dec-11
OXFORD ROAD,13-Dec-11
VICTORIA AVENUE,15-Nov-11
MOUNT PLEASANT AVENUE UPPER,15-Nov-11
GREAT WESTERN SQUARE,15-Nov-11
BELGRAVE ROAD,15-Nov-11
ASHDALE ROAD,09-Nov-11
ǁRD RǍ PLACE,12-Nov-11
HEYTESBURY STREET,12-Nov-11
DARTMOUTH ROAD,12-Nov-11
DARTMOUTH ROAD,12-Nov-11
RICHMOND ROW,09-Nov-11
SAINT PETER'S ROAD,09-Nov-11
EDENVALE ROAD,07-Dec-11
GRATTAN PARADE,07-Dec-11
BRIGHTON ROAD,08-Dec-11
PEMBROKE GARDENS,11-Nov-11
CARLINGFORD ROAD,11-Nov-11
WYNNEFIELD ROAD,10-Nov-11
SAINT KEVIN'S ROAD,10-Nov-11
INCHICORE ROAD,10-Nov-11
GROSVENOR ROAD,17-Nov-11
WELLINGTON ROAD,22-Nov-11
SOUTH CIRCULAR ROAD,01-Dec-11
LOMBARD STREET WEST,09-Nov-11
CARLISLE STREET,24-Nov-11
KENILWORTH SQUARE,24-Nov-11
HOLLYBANK ROAD,25-Nov-11
LOMBARD STREET WEST,25-Nov-11
BLESSINGTON STREET,10-Nov-11
SUMMERVILLE PARK,17-Nov-11
MAXWELL ROAD,24-Nov-11
KENMARE PARADE,05-Nov-11
PEMBROKE GARDENS,12-Nov-11
EDENVALE ROAD,22-Nov-11
SAINT JOSEPH'S ROAD,22-Nov-11
EDENVALE ROAD,22-Nov-11
SAINT JOSEPH STREET,24-Nov-11
EATON SQUARE,11-Nov-11
GLENGARRIFF PARADE,11-Nov-11
HAROLD'S CROSS ROAD,16-Nov-11
HOWARD STREET,18-Nov-11
BEECHWOOD AVENUE LOWER,26-Nov-11
TOWER AVENUE,26-Nov-11
DERRYNANE GARDENS,12-Nov-11
HEYTESBURY STREET,12-Nov-11
SERPENTINE TERRACE,22-Nov-11
WELLINGTON PLACE,24-Nov-11
OAKLANDS PARK,24-Nov-11
PALMERSTON ROAD,24-Nov-11
TRITONVILLE ROAD,24-Nov-11
EDENVALE ROAD,24-Nov-11
EDENVALE ROAD,25-Nov-11
MOUNT TEMPLE ROAD,05-Nov-11
LEESON PARK AVENUE,08-Nov-11
CARLISLE STREET,12-Nov-11
ARRAN STREET EAST,05-Nov-11
MOUNTJOY SQUARE EAST,05-Nov-11
WILTON TERRACE,05-Nov-11
PROSPECT AVENUE,10-Nov-11
ASHFIELD ROAD,10-Nov-11
SAINT COLUMBA'S ROAD UPPER,10-Nov-11
OLD MOUNTPLEASANT,11-Nov-11
SAINT BRIGID'S ROAD LOWER,18-Nov-11
IONA AVENUE,25-Nov-11
PRIMROSE STREET,29-Nov-11
LEINSTER ROAD,29-Nov-11
AUBURN AVENUE,10-Nov-11
INNISFALLEN PARADE,05-Nov-11
SITRIC ROAD,01-Dec-11
MORNINGTON ROAD,05-Nov-11
SOUTH CIRCULAR ROAD,05-Nov-11
CLONSKEAGH ROAD,11-Nov-11
BOW STREET,15-Nov-11
GREENMOUNT ROAD,15-Nov-11
MOUNTPLEASANT AVENUE LOWER,16-Nov-11
SYNGE STREET,01-Dec-11
HERBERT PARK,02-Dec-11
TRITONVILLE ROAD,03-Dec-11
TRITONVILLE ROAD,03-Dec-11
YORK ROAD,07-Dec-11
DARLEY STREET,09-Nov-11
SAINT IGNATIUS AVENUE,03-Dec-11
EMORVILLE AVENUE,03-Dec-11
,17-Nov-11
MOUNTPLEASANT SQUARE,17-Nov-11
HADDINGTON ROAD,18-Nov-11
LANSDOWNE PARK,18-Nov-11
FERGUS ROAD,22-Nov-11
EDENVALE ROAD,13-Jan-12
EGLINTON ROAD,13-Jan-12
EGLINTON ROAD,13-Jan-12
BRIGHTON SQUARE,20-Jan-12
KENILWORTH PARK,05-Jan-12
MCMAHON STREET,13-Jan-12
EATON SQUARE,13-Jan-12
HANNAVILLE PARK,13-Jan-12
KENILWORTH PARK,21-Jan-12
MARLBOROUGH ROAD,21-Jan-12
GROVE PARK,21-Jan-12
DORSET STREET LOWER,21-Jan-12
CABRA PARK,14-Jan-12
REGINALD STREET,20-Jan-12
GULISTAN TERRACE,20-Jan-12
HOLLYBANK ROAD,20-Jan-12
TERENURE PARK,24-Jan-12
BOW STREET,07-Jan-12
SAINT IGNATIUS ROAD,07-Jan-12
MARLBOROUGH ROAD,07-Jan-12
LENNOX STREET,17-Jan-12
BEECHWOOD AVENUE LOWER,24-Jan-12
BEECHWOOD AVENUE LOWER,24-Jan-12
BELGRAVE ROAD,24-Jan-12
LEESON PARK,24-Jan-12
PARK DRIVE,17-Jan-12
PALMERSTON ROAD,17-Jan-12
,17-Jan-12
ALMA COURT,25-Jan-12
WASHINGTON STREET,10-Jan-12
SAINT VINCENT STREET,10-Jan-12
MOREHAMPTON ROAD,18-Jan-12
THE DEMESNE,19-Jan-12
LENNOX STREET,16-Dec-11
NORTHBROOK AVENUE LOWER,16-Dec-11
SAINT CATHERINE'S AVENUE,06-Jan-12
MERTON DRIVE,06-Jan-12
HEALTHFIELD ROAD,04-Jan-12
ADELAIDE ROAD,05-Jan-12
SAINT IGNATIUS ROAD,20-Dec-11
BELGRAVE SQUARE,20-Dec-11
PERCY PLACE,20-Dec-11
SAINT BROC'S COTTAGES,21-Dec-11
AILESBURY ROAD,11-Jan-12
SAINT KEVIN'S PARADE,11-Jan-12
MERRION VIEW AVENUE,11-Jan-12
ONTARIO TERRACE,17-Dec-11
EMOR STREET,22-Dec-11
DROMARD AVENUE,14-Dec-11
FITZWILLIAM PLACE,14-Dec-11
FENIAN STREET,16-Dec-11
AVONDALE AVENUE,03-Jan-12
LOMBARD STREET WEST,17-Dec-11
AUBURN AVENUE,17-Dec-11
EBLANA VILLAS,21-Dec-11
HASTINGS STREET,04-Jan-12
HOLLYBANK ROAD,20-Dec-11
BELMONT AVENUE,15-Dec-11
MERLYN ROAD,15-Dec-11
NORTHBROOK ROAD,22-Dec-11
KILLARNEY STREET,20-Dec-11
TERENURE PARK,20-Dec-11
CARLISLE STREET,22-Dec-11
NORTHUMBERLAND ROAD,03-Jan-12
CASIMIR ROAD,03-Jan-12
GARVILLE AVENUE,03-Jan-12
STAMER STREET,03-Jan-12
LEESON STREET UPPER,03-Jan-12
MOUNTJOY SQUARE EAST,22-Dec-11
KILMAINHAM LANE,03-Jan-12
OLAF ROAD,11-Jan-12
MOUNTJOY STREET,19-Jan-12
SAINT MARY'S LANE,21-Dec-11
CASIMIR ROAD,05-Jan-12
MOUNTJOY SQUARE SOUTH,05-Jan-12
PARK DRIVE,06-Jan-12
PEARSE SQUARE,22-Dec-11
VIKING ROAD,06-Jan-12
ROYAL CANAL BANK,10-Jan-12
SANDYMOUNT AVENUE,12-Jan-12
BEECHWOOD AVENUE LOWER,18-Jan-12
KENILWORTH SQUARE,18-Jan-12
GOLDSMITH STREET,18-Jan-12
BELMONT PARK,14-Dec-11
MERLYN ROAD,06-Jan-12
BEECHWOOD PARK,06-Jan-12
CASIMIR ROAD,12-Jan-12
DERRYNANE GARDENS,12-Jan-12
NORTH GREAT GEORGE'S STREET,12-Jan-12
NORTH GREAT GEORGE'S STREET,12-Jan-12
NORTH GREAT GEORGE'S STREET,12-Jan-12
BATH AVENUE,04-Jan-12
KENILWORTH PARK,19-Jan-12
AUGHRIM STREET,19-Jan-12
MERLYN ROAD,16-Dec-11
DUFFERIN AVENUE,12-Jan-12
BELGRAVE SQUARE,13-Jan-12
BELGRAVE SQUARE,13-Jan-12
LEESON PARK AVENUE,25-Apr-12
RATHDOWN AVENUE,25-Apr-12
RATHDOWN ROAD,25-Apr-12
MOUNT EDEN ROAD,13-Apr-12
RATHDOWN ROAD,13-Apr-12
RUGBY ROAD,14-Apr-12
HAROLD'S CROSS ROAD,14-Apr-12
ARGYLE ROAD,26-Apr-12
NORTHUMBERLAND ROAD,26-Apr-12
MORNINGTON ROAD,26-Apr-12
HOLLYBANK ROAD,21-Apr-12
ANNESLEY PARK,27-Apr-12
CHARLES STREET GREAT,27-Apr-12
SITRIC ROAD,27-Apr-12
MERRION VIEW AVENUE,14-Apr-12
SAINT ALBAN'S ROAD,27-Apr-12
MOUNTPLEASANT AVENUE LOWER,27-Apr-12
BROOKVALE ROAD,27-Apr-12
SOUTH CIRCULAR ROAD,27-Apr-12
MAYFIELD ROAD,28-Apr-12
MOUNTPLEASANT SQUARE,28-Apr-12
GREAT WESTERN SQUARE,28-Apr-12
HEYTESBURY STREET,28-Apr-12
SYNGE STREET,15-Apr-12
MARGARET PLACE,29-Apr-12
BLOOMFIELD AVENUE,29-Apr-12
CULLENSWOOD GARDENS,29-Apr-12
EDENVALE ROAD,29-Apr-12
WINDSOR ROAD,03-May-12
BRIGHTON SQUARE,03-May-12
TIVOLI AVENUE,03-May-12
BELGRAVE SQUARE,29-Apr-12
HOLLYBROOK ROAD,18-Apr-12
FRANKFORT AVENUE,03-May-12
CHERRYFIELD AVENUE,03-May-12
CHARLES STREET GREAT,03-May-12
NUTLEY ROAD,21-Apr-12
MONTPELIER HILL,18-Apr-12
MONTPELIER HILL,18-Apr-12
OSTMAN PLACE,18-Apr-12
OSTMAN PLACE,18-Apr-12
OSTMAN PLACE,18-Apr-12
MONTPELIER HILL,18-Apr-12
SOUTH DOCK STREET,18-Apr-12
BAGGOT STREET LOWER,18-Apr-12
BEECHWOOD AVENUE LOWER,18-Apr-12
CUFFE LANE,03-May-12
MOREHAMPTON TERRACE,03-May-12
SOUTH CIRCULAR ROAD,05-May-12
PERCY PLACE,04-May-12
PERCY PLACE,04-May-12
GROSVENOR ROAD,04-May-12
HEYTESBURY LANE,05-May-12
RATHDOWN ROAD,05-May-12
PEMBROKE COTTAGES,05-May-12
EATON SQUARE,04-May-12
BELMONT VILLAS,04-May-12
GARVILLE AVENUE UPPER,04-May-12
MERTON AVENUE,06-Apr-12
MERTON AVENUE,06-Apr-12
GERALD STREET,05-May-12
TERENURE PARK,06-May-12
GROVE PARK,20-Apr-12
MERLYN DRIVE,21-Apr-12
ARNOTT STREET,21-Apr-12
RATHDOWN ROAD,21-Apr-12
WILFRID TERRACE,06-Apr-12
