Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
CENTRAL SENIOR MXD N S,MARLBORO ST,DUBLIN 1,,Dublin,Catholic,Y,100,108,208,316182,234864,-6.25505,53.3512,00752A
CENTRAL INFS SCHOOL,MARLBORO ST,DUBLIN 1,,Dublin,Catholic,Y,75,89,164,316191,234838,-6.25492,53.351,01795A
NAOMH PADRAIG BOYS,CAMBRIDGE ROAD,RINGSEND,DUBLIN 4,Dublin,Catholic,Y,119,0,119,318248,234019,-6.22435,53.3432,03917V
SCOIL AN CROI NAOFA,GLASNEVIN,DUBLIN 11,,Dublin,Catholic,N,453,0,453,314874,238474,-6.27337,53.3839,04992R
PRESENTATION PRIMARY SCHOOL,GEORGES HILL,DUBLIN 7,,Dublin,Catholic,Y,50,126,176,315140,234486,-6.27083,53.3481,05933G
GOLDENBRIDGE CONVENT,GOLDENBRIDGE,INCHICORE,DUBLIN 8,Dublin,Catholic,Y,138,129,267,312021,233117,-6.31813,53.3364,07546J
ST JOSEPHS BOYS N S,TERENURE,DUBLIN 6,,Dublin,Catholic,N,480,0,480,314560,230169,-6.28109,53.3094,09750S
STANHOPE ST CONVENT,STANHOPE STREET,DUBLIN 7,,Dublin,Catholic,Y,85,261,346,314534,234953,-6.27975,53.3524,09932B
CHAPELIZOD N S,CHAPELIZOD,DUBLIN 20,,Dublin,CHURCH OF IRELAND,N,17,13,30,310279,234590,-6.34376,53.35,10653E
ST PATRICKS N SCHOOL,DRUMCONDRA,DUBLIN 9,,Dublin,Catholic,N,484,4,488,315979,236945,-6.25733,53.37,11525A
CITY QUAY BOYS N S,CITY QUAY,DUBLIN 2,,Dublin,Catholic,Y,82,79,161,316509,234332,-6.25033,53.3464,11578V
ST LAURENCE O TOOLE JUNIOR BOYS,SEVILLE PLACE,DUBLIN 1,,Dublin,Catholic,Y,49,0,49,317085,234849,-6.2415,53.3509,11776C
SCOIL MHUIRE,Gilford Road,Sandymount,Dublin 4,Dublin,Catholic,N,0,294,294,319165,232352,-6.21121,53.328,11894I
GARDINER STREET CONVENT,GARDINER STREET,DUBLIN 1,,Dublin,Catholic,Y,116,188,304,315972,235597,-6.25793,53.3579,12448N
KILDARE PLACE  N S,96 UPPER RATHMINES RD,DUBLIN 6,,Dublin,CHURCH OF IRELAND,N,111,110,221,315764,231187,-6.26266,53.3183,12755W
PRESENTATION PRIMARY SCHOOL,BLACKPITTS,DUBLIN 8,,Dublin,Catholic,Y,94,213,307,314871,233071,-6.27538,53.3354,13611D
PRESENTATION PRIMARY SCHOOL,TERENURE,DUBLIN 6W,,Dublin,Catholic,N,0,576,576,314152,230270,-6.28717,53.3104,13612F
HOWTH RD MXD N S,HOWTH RD,CLONTARF,DUBLIN 3,Dublin,PRESBYTERIAN,N,48,50,98,318135,236332,-6.22518,53.364,13815T
ST COLUMBAS N S MXD,NORTH STRAND,DUBLIN 3,,Dublin,CHURCH OF IRELAND,N,39,31,70,317077,235694,-6.2413,53.3585,14463T
ST ENDAS PRIMARY SCHOOL,ST ENDAS PRIMARY SCHOOL,WHITEFRIAR ST,DUBLIN 8,Dublin,Catholic,Y,63,77,140,315470,233609,-6.26619,53.3401,14556D
RATHGAR N S,RATHGAR,DUBLIN 6,,Dublin,METHODIST,N,44,51,95,314989,230671,-6.27447,53.3138,14717B
ZION PARISH PRIMARY SCHOOL,BUSHY PARK ROAD,RATHGAR,DUBLIN 6,Dublin,CHURCH OF IRELAND,N,46,50,96,315056,229992,-6.27372,53.3077,14917J
GLASNEVIN N S,BOTANIC AVENUE,GLASNEVIN,DUBLIN 9,Dublin,CHURCH OF IRELAND,N,30,43,73,315362,237197,-6.2665,53.3724,14980Q
S N SAN VINSEANN CAILIN,NORTH WILLIAM ST,DUBLIN 1,,Dublin,Catholic,Y,0,192,192,316789,235539,-6.24568,53.3572,15056L
ST PATRICKS GIRLS NS,CAMBRIDGE ROAD,DUBLIN 4,,Dublin,Catholic,Y,0,164,164,318226,234008,-6.22468,53.3431,15253N
SANDFORD N S,RANELAGH,DUBLIN 6,,Dublin,CHURCH OF IRELAND,N,133,103,236,316788,231473,-6.2472,53.3206,15618E
ST PATRICKS NS,CHAPELIZOD VILLAGE,CHAPELIZOD,DUBLIN 20,Dublin,Catholic,N,125,102,227,310373,234403,-6.34241,53.3483,15622S
ST CATHERINES WEST N S,DONORE AVENUE,SOUTH CIRCULAR ROAD,DUBLIN 8,Dublin,CHURCH OF IRELAND,N,83,78,161,314419,232776,-6.28226,53.3329,15625B
ST VINCENTS INF BOYS,NORTH WILLIAM STREET,DUBLIN 1,,Dublin,Catholic,Y,116,0,116,316776,235501,-6.24589,53.3568,15816I
DRUMCONDRA N S,CHURCH AVENUE,DRUMCONDRA,DUBLIN 9,Dublin,CHURCH OF IRELAND,N,30,31,61,316564,236854,-6.24858,53.369,15895H
Star of the Sea,SANDYMOUNT,DUBLIN 4,,Dublin,Catholic,N,375,0,375,318747,233217,-6.21716,53.3359,15995L
LINDSAY ROAD N S,LINDSAY ROAD,GLASNEVIN,DUBLIN 9,Dublin,PRESBYTERIAN,N,53,46,99,315563,236344,-6.2638,53.3647,16177F
ST BRIGIDS CONVENT N S,HADDINGTON ROAD,DUBLIN 4,104,Dublin,Catholic,Y,69,239,308,317254,232979,-6.23965,53.3341,16567S
ST BRIGIDS CONVENT,GLASNEVIN,DUBLIN 11,111,Dublin,Catholic,N,0,468,468,314809,237658,-6.27464,53.3766,16577V
ST CLARES CONVENT N S,HAROLDS CROSS ROAD,DUBLIN 6W,126,Dublin,Catholic,N,188,139,327,314938,232059,-6.27474,53.3263,16651H
ST COLUMBAS CON G & I,IONA ROAD,GLASNEVIN,DUBLIN 9,Dublin,Catholic,N,2,389,391,315641,236554,-6.26255,53.3665,16659A
SCOIL NA MBRATHAR,NORTH BRUNSWICK STREET,DUBLIN 7,107,Dublin,Catholic,Y,174,0,174,314803,234723,-6.2758,53.3503,16695E
ST VINCENT DE PAULS GIRLS SCHOOL,GRIFFITH AVENUE,DUBLIN 9,103,Dublin,Catholic,N,0,294,294,317855,236964,-6.22915,53.3697,16753P
ST VINCENTS CONVENT INF N S,67 GRIFFITH AVENUE,DUBLIN 9,109,Dublin,Catholic,N,191,199,390,317835,236976,-6.22945,53.3698,16754R
S N MHUIRE NA MBRATHAR,MARINO,DUBLIN 9,109,Dublin,Catholic,N,297,0,297,317698,237047,-6.23148,53.3705,16759E
ST BRIGIDS PRIMARY SCHOOL,THE COOMBE,DUBLIN 8,108,Dublin,Catholic,Y,65,180,245,314956,233419,-6.27397,53.3385,16786H
ST BRIGIDS CONVENT N S,KILLESTER,DUBLIN 5,105,Dublin,Catholic,N,0,431,431,319455,237963,-6.20474,53.3783,16792C
CORPUS CHRISTI N S,HOME FARM ROAD,DRUMCONDRA,DUBLIN 9,Dublin,Catholic,N,0,421,421,316021,237464,-6.25651,53.3746,16860Q
SCOIL MHUIRE OGH 1,LORETO COLLEGE,CRUMLIN RD,DUBLIN 12,Dublin,Catholic,Y,0,152,152,313586,232322,-6.29493,53.329,16964F
SCOIL NAISIUNTA STRATFORD,1 ZION ROAD,RATHGAR,DUBLIN 6,Dublin,JEWISH,N,59,52,111,315039,230179,-6.2739,53.3094,16966J
CHRIST THE KING B N S,CABRA,DUBLIN 7,107,Dublin,Catholic,Y,83,0,83,314203,236165,-6.28428,53.3633,16988T
CHRIST THE KING G N S,CABRA,DUBLIN 7,107,Dublin,Catholic,Y,0,94,94,314162,236173,-6.2849,53.3634,16989V
S N MUIRE GAN SMAL B,INCHICORE,DUBLIN 8,108,Dublin,Catholic,Y,181,142,323,311618,233214,-6.32414,53.3374,17083B
ST FRANCIS JUNIOR NATIONAL SCHOOL,PRIORSWOOD,DUBLIN 17,117,Dublin,Catholic,Y,85,86,171,319437,240741,-6.20396,53.4033,17104G
NAOMH LORCAN O TUATHAIL,PLAS SEIBHIL,BAILE ATHA CLIATH 1,101,Dublin,Catholic,Y,73,0,73,316992,235069,-6.24281,53.3529,17110B
