Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
St Marys Secondary School,Baldoyle,Dublin 13,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,291,0,324596,240138,324596,240138,60021U
Blackrock College,Rock Road,Blackrock,Co. Dublin,Dublin,Boys,Mixed,No subjects taught through Irish,Y,CATHOLIC,0,999,320690,229652,320690,229652,60030V
Willow Park School,Rock Road,Blackrock,Co Dublin,Dublin,Boys,Mixed,No subjects taught through Irish,Y,CATHOLIC,0,206,320348,229910,320348,229910,60040B
Coláiste Eoin,Baile an Bhóthair,Bóthair Stigh Lorgan,Co Atha Cliath,Dublin,Boys,Day,All pupils taught all subjects through Irish,N,CATHOLIC,0,491,319719,229513,319719,229513,60041D
Coláiste Íosagáin,Bóthar Stigh Lorgan,Baile an Bhóthair,Co Átha Cliath,Dublin,Girls,Day,All pupils taught all subjects through Irish,N,CATHOLIC,494,0,319777,229489,319777,229489,60042F
Oatlands College,Mount Merrion,Co Dublin,,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,538,319911,228389,319911,228389,60050E
Dominican College,Sion Hill,Blackrock,Co Dublin,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,391,0,320739,229424,320739,229424,60070K
Rockford Manor Secondary School,Stradbrook Rd,Blackrock,Co Dublin,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,319,0,322559,227852,322559,227852,60081P
Rathdown School,Upper Glenageary Road,Glenageary,Co. Dublin,Dublin,Girls,Mixed,No subjects taught through Irish,Y,CHURCH OF IRELAND,315,0,324802,226730,324802,226730,60090Q
Clonkeen College,Clonkeen Road,Blackrock,Co Dublin,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,526,322986,225944,322986,225944,60092U
Castleknock College,Castleknock,Dublin 15,,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,590,308641,236572,308641,236572,60100Q
Mount Sackville Secondary School,Chapelizod,Dublin 20,,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,617,0,309430,235635,309430,235635,60120W
Moyle Park College,Clondalkin,Dublin 22,,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,664,306848,231173,306848,231173,60121B
Coláiste Bríde,New Road,Clondalkin,Dublin 22,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,949,0,307409,230942,307409,230942,60122D
Loreto Abbey Secondary School,Dalkey,Co Dublin,,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,621,0,326794,227123,326794,227123,60130C
Mount Anville Secondary School,Mount Anville Rd,Dublin 14,,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,616,0,318567,228444,318567,228444,60140F
Notre Dame Secondary School,Upper Churchtown Road,Dublin 14,,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,181,0,316647,228439,316647,228439,60160L
Christian Brothers College,Monkstown Park,Dun Laoghaire,Co Dublin,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,458,323548,228179,323548,228179,60180R
Loreto College Foxrock,Foxrock,Dublin 18,,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,642,0,321678,226241,321678,226241,60240J
Holy Child Secondary School,Military Road,Killiney,Co. Dublin,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,360,0,325876,224129,325876,224129,60250M
St Joseph Of Cluny Secondary School,Bellevue Park,Ballinclea Rd,Killiney,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,402,0,325235,226099,325235,226099,60260P
St Benildus College,Upper Kilmacud Rd,Stillorgan,Blackrock,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,764,318673,227484,318673,227484,60261R
St Laurence College,Loughlinstown,Dublin 18,,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,170,183,324304,223875,324304,223875,60262T
St Josephs College,Lucan,Co Dublin,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,888,0,303891,235313,303891,235313,60263V
Coláiste Phádraig CBS,Roselawn,Lucan,Co Dublin,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,725,304405,235195,304405,235195,60264A
The Kings Hospital,Palmerstown,Dublin 20,,Dublin,Mixed,Mixed,No subjects taught through Irish,Y,CHURCH OF IRELAND,310,386,307510,235478,307510,235478,60272W
St Pauls College,Sybil Hill,Raheny,Dublin 5,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,579,320299,237379,320299,237379,60290B
Árdscoil La Salle,Raheny Road,Raheny,Dublin 5,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,100,172,321823,239181,321823,239181,60291D
Manor House School,Watermill Road,Raheny,Dublin 5,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,808,0,321628,238015,321628,238015,60300B
Da La Salle College,Upper Churchtown Road,Churchtown,Dublin 14,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,390,315838,228757,315838,228757,60310E
St Columba's College,Whitechurch,Dublin 16,,Dublin,Mixed,Mixed,No subjects taught through Irish,Y,CHURCH OF IRELAND,134,160,315549,225384,315549,225384,60320H
Rockbrook Park School,Edmondstown Road,Rathfarnham,Dublin 16,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,150,313444,224883,313444,224883,60321J
Loreto High School,Beaufort,Grange Rd,Rathfarnham,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,626,0,314491,228248,314491,228248,60340N
Sancta Maria College,Ballyroan Crescent,Rathfarnham,Dublin 16,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,482,0,313168,227361,313168,227361,60341P
Colaiste Eanna,Ballyroan,Dublin16,,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,599,313496,227543,313496,227543,60342R
St Joseph's Secondary School,Convent Lane,Rush,Co. Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,251,416,326674,253891,326674,253891,60343T
St Raphaela's Secondary School,Upper Kilmacud Road,Stillorgan,Co Dublin,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,503,0,319747,227340,319747,227340,60361V
St. Fintan's High School,Dublin Road,Sutton,Dublin 13,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,663,325264,239295,325264,239295,60370W
Santa Sabina Dominican College,Greenfield Road,Sutton,Dublin 13,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,617,0,326427,239097,326427,239097,60380C
Sutton Park School,St Fintans Road,Sutton,Dublin 13,Dublin,Mixed,Mixed,No subjects taught through Irish,Y,CHURCH OF IRELAND,141,156,326900,237995,326900,237995,60381E
Coláiste Choilm,Dublin Road,Swords,Co Dublin,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,553,317932,246158,317932,246158,60383I
St Josephs C.B.S.,Merville Ave,Fairview,Dublin 3,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,0,300,317653,236382,317653,236382,60390F
St Vincents C.B.S. Glasnevin,Glasnevin,Dublin 11,,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,401,314874,236702,314874,236702,60400F
C.B.S. James Street,James's Street,Dublin 8,,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,189,313985,233574,313985,233574,60410I
Árdscoil Rís,Griffith Avenue,Dublin 9,,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,527,317993,236887,317993,236887,60420L
St Pauls C.B.S.,Christian Brothers,Nth Brunswick Street,Dublin 7,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,246,314873,234735,314873,234735,60430O
O'Connell School,North Richmond Street,Dublin 1,,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,24,253,316510,235626,316510,235626,60440R
Coláiste Mhuire,Bothar Rath Tó,Baile Atha Cliath 7,,Dublin,Mixed,Day,All pupils taught all subjects through Irish,N,CATHOLIC,101,127,313224,236217,313224,236217,60450U
"Christian Brothers, Synge St.","Synge St.,",Dublin 8.,,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,233,315417,232844,315417,232844,60470D
St. David's C.B.S.,Malahide Road,Artane,Dublin 5,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,489,318654,238217,318654,238217,60471F
Meanscoil Iognáid Rís,Long Mile Road,Walkinstown,Dublin 12,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,683,311078,231707,311078,231707,60480G
St. Aidan's C.B.S.,Collins Avenue Ext,Whitehall,Dublin 9,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,676,316351,238530,316351,238530,60481I
C.B.S. Westland Row,Westland Row,Dublin 2,,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,48,75,316667,233911,316667,233911,60490J
St Declan's College,Nephin Road,Cabra,Dublin 7,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,644,313008,236499,313008,236499,60491L
Marian College,Ballsbridge,Dublin 4,,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,3,449,318178,232872,318178,232872,60500J
St Johns College De La Salle,Le Fanu Rd,Ballyfermot,Dublin 10,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,399,309545,233870,309545,233870,60510M
Beneavin De La Salle College,Beneavin Road,Finglas,Dublin 11,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,486,314043,239016,314043,239016,60511O
Belvedere College S.J,6 Great Denmark Street,Dublin 1,,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,1,315764,235304,315764,235304,60520P
Gonzaga College,Sandford Road,Ranelagh,Dublin 6,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,547,316717,231019,316717,231019,60530S
Catholic University School,89 Lower Leeson Street,Dublin 2,,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,439,316235,233065,316235,233065,60540V
Chanel College,Coolock Village,Malahide Road,Dublin 5,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,568,319544,239017,319544,239017,60550B
St Marys College,Rathmines,Dublin 6,,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,430,315519,232171,315519,232171,60560E
St Michaels College,Ailesbury Road,Dublin 4,,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,594,318887,231431,318887,231431,60561G
Templeogue College,Templeville Road,Dublin 6W,,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,693,312579,229510,312579,229510,60562I
Terenure College,Templeogue Road,Terenure,Dublin 6w,Dublin,Boys,Day,No subjects taught through Irish,Y,CATHOLIC,0,686,313553,229543,313553,229543,60570H
Patrician College,Deanstown Ave,Finglas West,Dublin 11,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,183,311968,238396,311968,238396,60571J
St Kevins College,Ballygall Rd East,Finglas,Dublin 11,Dublin,Boys,Day,No subjects taught through Irish,N,CATHOLIC,0,517,314667,238611,314667,238611,60581M
