Venue,Address 1,Address 2,Phone,Web
40 Degrees,29 Henry Street,,01 8735100,
747 Travel,82 Aungier Street,,01 4780099,http://www.747travel.ie
A.T. Carmody and Co.,Finance House,46 Prussia Street,01 8685944,
Acap,7 Molesworth Street,,01 6799743,http://www.acapgroup.com
Accessorize,23d Mary Street,,01 8783525,http://www.monsoon.co.uk
Adam Hairdressing,112 Lower Baggot Street,,01 6611952,
Adams Trinity Hotel,28 Dame Street,,01 6707100,http://www.irelandby.com/adams/
Adonis,59-60 Patrick Street,,01 4545973,http://www.adonisflowerdesigners.ie
Age Action Ireland,30 - 31 Lower Camden Street,,01 4756989,
AIB Bank,126-128 Capel Street,,01 8721022,http://www.aib.ie
Alakebabra,22 Temple Bar,,086 2862094,
Alexanders Bridal,Parnell Street,,01 8744547,
Alias Tom,Duke House,Duke Lane,01 6715443,
Ali's Barber Shop,23a Aungier Street,,01 4757822,
All Seasons,31 Aungier Street,,01 4782901,
All Sorts,63 Aungier Street,,,
Alliance Electric,7 Castle House,South Great Georges Street,01 4755755,http://www.allianceelectric.ie
Alliance Electric,7 Castle House,South Great George's Street,01 4755755,
Alto Food,66 Abbey Street Middle,,01 8733991,
American Design,44 Moore Mall,llac Centre,01 8747633,http://www.adwears.com
American Holidays,18-19 Duke Street,,01 4331050,http://www.americanholidays.com
Ann Summers,30-31 Lower O'Connell Street,,01 8781385,http://www.annsummers.com
Apache Pizza,58 Dame Street,,01 6778154,
Apex Travel,59 Dame Street,,01 6715933,http://www.apextravel.ie
Applewoods Cafe,3 Werburgh Street,,01 4540998,http://www.hog-roast.ie
Aqua,60 Parnell Mall,Ilac Centre,01 8723492,
Argos,Jervis Street Shopping Centre,Mary Street,01 8733255,http://www.argos.ie
Argos,Parnell Mall,Ilac Centre,01 2161616,http://www.argos.ie
Ark Children Centre,11a Eustace Street,,01 6707788,http://www.ark.ie
Arlington Hotel,23-25 Bachelors Walk,,01 8049100,http://www.arlington.ie
Arnotts,12 Henry Street,,01 8050436,http://www.arnotts.ie
Art & Hobby Shop,Jervis Street Shopping Centre,Mary Street,01 8745312,http://www.artnhobby.ie
Art & Hobby Shop,Second Floor,St. Stephens Green Shopping Centre,01 4781263,http://www.artnhobby.ie
Asha,Second Floor,St. Stephens Green Shopping Centre,01 4781396,
Aspirations,1c Dame Lane,Trinity Street,01 6707269,http://aspirationsbridal.ie
Auld Dubliner,Temple Bar,,01 6770527,http://www.thesmithgroup.ie
Aungier Street Clinic,73 Aungier Street,,01 4005708,http://www.aungierclinic.ie/
Aya Food Bar,48-52 Clarendon Street,,01 6771544,http://www.aya.ie
B. Lynch & Sons,62 Lower Camden Street,,01 4751642,
Back Shop,32 Exchequer Street,,01 6712161,http://www.back-shop.com
Bag Shop,10 Talbot Street,,01 8731065,http://www.thebagshoponline.com
Bag Shop,3 Greeg Court,Parnell Street,01 8783162 ,http://www.thebagshoponline.com
Bag Shop,39 Henry Street,,01 8783162 ,http://www.thebagshoponline.com
Bagel Bar,70 Parnell Mall,Ilac Centre,01 8044318,http://www.thebagelbars.com
Bagel Factory,112a Lower Baggot Street,,01 6785159,
Bagel Factory,32 Dawson Street,,01 6778940,
Bagel Factory,33 Wicklow Street,,01 6334588,
Bakery,3 Pudding Lane,Essex Street West,01 6729882,
Bald Barista,68 Aungier Street,,01 4758616,
Balkan Tours ,5-6 South Great Georges Street,,01 6794415,http://www.balkan.co.uk
Banana Tree,First Floor,St. Stephens Shopping Centre,01 4789906,
Bank of Ireland,39 St Stephens Green,,01 6761976,http://www.bankofireland.ie
Bank of Ireland,Baggot Street Lower,,01 6615255,http://www.bankofireland.ie
Bar Italia,Essex Quay,,01 6795128,
Barratts,80 Grafton Street,,0044 1274628006,http://www.barratts.co.uk
Barratts Ladies,1 Post Office Building,Henry Street,01 8724033,http://www.barratts.co.uk
Baumler,51a Dawson Street,,01 6759773,http://www.baeumler.com/BaeumlerNew/
Berlin Opticians,157 Capel Street,,01 6775910,
