Name,School_Roll_No,Address1,Address2,Address3,Phone,School_Level,Mixed_Status,Fee_paying,Completion_Prog,Lat,Long
Rush Lusk Educate Together Ns,20176C,Rathmore Rd,Lusk,,(01) 8430525,Primary,Mixed,No,,53.52894655,-6.156906131
Mary Mother Of Hope Senior Ns,20137P,"Littlepace, Castaheaney",Dublin 15, ,(01) 8128693,Primary,Mixed,No,,53.40444377,-6.424667333
Mater Christi Secondary School,60852R,Cappagh,Dublin 11, ,(01) 8343165,Secondary,Girls,No,,53.39214395,-6.323062321
Saint Philip The Apostle  Jns,19601H,Mountview Road,Dublin 15, ,(01) 8212992,Primary,Mixed,No,School Completion Programme,53.39027599,-6.407382918
Saint Francis Xavier Sns,19470S,Roselawn Road,Castleknock,Dublin 15,(01) 8211121,Primary,Mixed,No,,53.38272239,-6.383342975
Bayside Jns (Muire Agus Iosef),19393D,Verbena Avenue,Sutton,Dublin 13,(01) 8326524,Primary,Mixed,No,,53.38934441,-6.147252311
Saint Mologas Ns,16970A,Bremore,Balbriggan,Dublin,(01) 8413133,Primary,Mixed,No,,53.61585659,-6.190349681
Balbriggan Educate Together,20202A,Hamlet Lane,Moylaragh,Balbriggan,(01) 6904635,Primary,Mixed,No,School Completion Programme,53.61253308,-6.206501856
Saint Patricks National School,20130B,Diswellstown,Dubiln 15, ,(01) 8249930,Primary,Mixed,No,,53.36920975,-6.388149743
Scoil Thomais,19769W,Laurel Lodge,Castleknock,Dublin 15,(01) 8201022,Primary,Mixed,No,,53.37816046,-6.377816934
St Patricks Jns/Corduff Ns,19545A,Blackcourt Road,Corduff,Dublin 15,(01) 8211546,Primary,Mixed,No,School Completion Programme,53.3988995,-6.375691501
Ladyswell National School,19850F,Ladyswell,Mulhuddart,Dublin 15,(01) 8204255,Primary,Mixed,No,School Completion Programme,53.40597327,-6.39190374
Mulhuddart National School,16675V,Mulhuddart Village,Dublin 15, ,(01) 8210623,Primary,Mixed,No,,53.41467528,-6.392279341
Tyrellstown Educate Together,20201V,Powerstown Road,Tyrellstown,Dublin 15,(01) 8273140,Primary,Mixed,No,,53.41464793,-6.390249899
Colaiste Choilm,60383I,Dublin Road,Swords,Co. Dublin,(01) 8401420,Secondary,Boys,No,,53.45250527,-6.22551818
Castleknock Community College,76062B,Carpenterstown Road,Dublin 15, ,(01) 8221626,Secondary,Mixed,No,,53.37199426,-6.391062693
Saint Colmcilles Boy'S National School,18976W,Chapel Lane,Swords,Co. Dublin,(01) 8405132,Primary,Boys,No,School Completion Programme,53.45848287,-6.2147721
Skerries Community College,76078Q,Balbriggan Street,Skerries,Balbriggan,(01) 8490011,Secondary,Mixed,No,,53.57918616,-6.115893363
Scoil Realt Na Mara,19625V,Balbriggan Road,Skerries,Balbriggan,(01) 8490049,Primary,Mixed,No,,53.5803144,-6.120697813
Lusk National School (Sn Lusca),17961E,Chapel Road,Lusk,Co. Dublin,(01) 8437738,Primary,Mixed,No,,53.52918633,-6.167916657
Loughshinney National School (Saint Brendans/ Scoil N Breandan),16844S,Ballykea,Skerries,Balbriggan,(01) 8490394,Primary,Mixed,No,,53.54641038,-6.09018258
