Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
BORRIS MXD N S,BORRIS,CO CARLOW,,Carlow,CATHOLIC,N,100,94,194,273199,150324,-6.91956,52.5993,00651R
BALLYCONNELL N S,Ballyconnell,Tullow,Co Carlow,Carlow,CATHOLIC,N,80,79,159,292481,174367,-6.62828,52.8124,00977B
BAILE AN CHUILINN N S,MUINEBEAG,CO CARLOW,,Carlow,CATHOLIC,N,56,55,111,272463,155784,-6.92923,52.6485,01116A
NEWTOWN DUNLECKNEY MXD,MUINEBEAG,CO CARLOW,,Carlow,CATHOLIC,N,69,61,130,275959,164072,-6.87567,52.7225,01215C
RATHOE NS,RATHOE,CO CARLOW,,Carlow,CATHOLIC,N,92,86,178,281027,171359,-6.79887,52.7872,01415K
SCOIL NAIS MOLAISE,OLD LEIGHLIN,VIA BILBOA,CO CARLOW,Carlow,CATHOLIC,N,74,66,140,265307,165801,-7.03297,52.7394,02124E
SCOIL NAIS BHRIDE,GRANGE,TULLOW,CO CARLOW,Carlow,CATHOLIC,N,88,71,159,282120,176948,-6.78127,52.8373,04077I
SCOIL NAIS MHUIRE,DROIMFEIGH,BAGENALSTOWN,CO CARLOW,Carlow,CATHOLIC,N,53,47,100,278553,156943,-6.83898,52.6581,09320Q
ST MARYS N S,MUINEBEAG,CO CARLOW,,Carlow,CHURCH OF IRELAND,N,39,41,80,270371,161495,-6.95892,52.7001,11135K
ST BRIDGETS MONASTERY,MUINEBEAG,CO CARLOW,,Carlow,CATHOLIC,N,116,1,117,270696,161495,-6.95411,52.7,13105L
S N MUIRE LOURDES,TULLOW,CO CARLOW,,Carlow,CATHOLIC,N,0,217,217,285444,172887,-6.73301,52.8003,13507I
ST COLUMBAS N S,TULLOW,CO CARLOW,,Carlow,CHURCH OF IRELAND,N,30,35,65,285514,173275,-6.73187,52.8037,13607M
S N PEADAR AGUS POL,BALLON,CO CARLOW,,Carlow,CATHOLIC,N,142,139,281,283204,165930,-6.76798,52.7381,14837L
S N PHADRAIG NAOFA,PATRICIAN BROTHERS,TULLOW,CO CARLOW,Carlow,CATHOLIC,N,229,0,229,285520,173189,-6.7318,52.803,16080N
FR CULLEN MEMORIAL N S,TINRYLAND,CO CARLOW,,Carlow,CATHOLIC,N,81,89,170,274499,172123,-6.89544,52.795,16938E
BISHOP FOLEY MEMORIAL SCHOOL,Station Road,Co Carlow,,Carlow,CATHOLIC,N,268,0,268,272512,177195,-6.92377,52.8409,17053P
S N NMH FHINGIN,GARRYHILL,MUINEBHEAG,CO CARLOW,Carlow,CATHOLIC,Y,21,12,33,277649,159052,-6.85184,52.6771,17096K
ST JOSEPHS NS,HACKETSTOWN,CO CARLOW,,Carlow,CATHOLIC,Y,73,73,146,297277,180092,-6.55546,52.863,17127S
SCOIL N MOLING-GLYNN,ST MULLINS,KILKENNY,,Carlow,CATHOLIC,N,21,36,57,274201,139477,-6.9072,52.5017,17330P
SCOIL NAIS MHICHIL,BAILE NUA,BORRIS,CO CARLOW,Carlow,CATHOLIC,N,26,21,47,274418,144438,-6.9029,52.5463,17462J
ST BRENDANS N S,DRUMMOND,ST MULLINS,KILKENNY,Carlow,CATHOLIC,N,12,8,20,274710,136225,-6.90043,52.4724,17481N
Bennekerry National School,Bennekerry,Co Carlow,,Carlow,CATHOLIC,N,200,199,399,276212,176121,-6.86912,52.8307,17501Q
S N CLUAIN NA GALL,CLONEGAL,ENNISCORTHY,CO WEXFORD,Carlow,CATHOLIC,N,62,55,117,291401,161388,-6.64791,52.696,17514C
ST PATRICKS N S,RATHVILLY,CO CARLOW,,Carlow,CATHOLIC,N,96,95,191,288216,181805,-6.68951,52.8799,17663T
S N TREASA NAOMHA,CILL TEAGAIN,CO CILLE MANNTAIN,,Carlow,CATHOLIC,Y,32,33,65,293017,183185,-6.61781,52.8915,17669I
BALLINABRANNA MXD N S,MILFORD,CO CARLOW,,Carlow,CATHOLIC,N,83,85,168,268668,170962,-6.98213,52.7854,17756D
Our Lady's National School,Nurney,Carlow,Co Carlow,Carlow,CATHOLIC,N,22,22,44,273518,166934,-6.91115,52.7485,17796P
S N FHOIRTCHEIRN/FHININ,MIDHISEAL,CO CEATHARLACH,,Carlow,CATHOLIC,N,60,63,123,282544,160140,-6.77921,52.6862,17994T
SCOIL MUIRE GAN SMAL,ARD AITINN,CO CEATHARLACH,,Carlow,CATHOLIC,N,45,36,81,287428,167987,-6.70491,52.7559,18024N
S N CILL DAMHAIN,CILL DAMHAIN,INIS CORTHAIGH,CO LOCH GORMAN,Carlow,CATHOLIC,N,52,47,99,288933,160048,-6.68477,52.6844,18090D
QUEEN OF UNIVERSE N S,MUINEBHEAG,CO CARLOW,,Carlow,CATHOLIC,N,94,187,281,270129,161621,-6.96247,52.7012,18183K
S N MUIRE GAN SMAL,GREEN LANE,CARLOW,,Carlow,CATHOLIC,N,0,439,439,272633,176860,-6.92205,52.8378,18363M
SCOIL NAIS IOSEF NAOFA,CARLOW,CO CARLOW,,Carlow,CATHOLIC,N,164,1,165,272598,176948,-6.92255,52.8386,18424G
St Patrick's National School,Ballymurphy,Borris,Co Carlow (via Kilkenny),Carlow,CATHOLIC,N,24,27,51,277310,147230,-6.85962,52.571,18510W
