Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
St Marys Secondary School,Baldoyle,Dublin 13,,Dublin,Girls,Day,No subjects taught through Irish,N,Catholic,291,0,324596,240138,324596,240138,60021U
Blackrock College,Rock Road,Blackrock,Co. Dublin,Dublin,Boys,Mixed,No subjects taught through Irish,Yes,Catholic,0,999,320690,229652,320690,229652,60030V
Willow Park School,Rock Road,Blackrock,Co Dublin,Dublin,Boys,Mixed,No subjects taught through Irish,Yes,Catholic,0,206,320348,229910,320348,229910,60040B
Col�iste Eoin,Baile an Bh�thair,B�thair Stigh Lorgan,Co Atha Cliath,Dublin,Boys,Day,All pupils taught all subjects through Irish,N,Catholic,0,491,319719,229513,319719,229513,60041D
Col�iste �osag�in,B�thar Stigh Lorgan,Baile an Bh�thair,Co �tha Cliath,Dublin,Girls,Day,All pupils taught all subjects through Irish,N,Catholic,494,0,319777,229489,319777,229489,60042F
Oatlands College,Mount Merrion,Co Dublin,,Dublin,Boys,Day,No subjects taught through Irish,N,Catholic,0,538,319911,228389,319911,228389,60050E
Dominican College,Sion Hill,Blackrock,Co Dublin,Dublin,Girls,Day,No subjects taught through Irish,N,Catholic,391,0,320739,229424,320739,229424,60070K
Rockford Manor Secondary School,Stradbrook Rd,Blackrock,Co Dublin,Dublin,Girls,Day,No subjects taught through Irish,N,Catholic,319,0,322559,227852,322559,227852,60081P
Rathdown School,Upper Glenageary Road,Glenageary,Co. Dublin,Dublin,Girls,Mixed,No subjects taught through Irish,Yes,CHURCH OF IRELAND,315,0,324802,226730,324802,226730,60090Q
Clonkeen College,Clonkeen Road,Blackrock,Co Dublin,Dublin,Boys,Day,No subjects taught through Irish,N,Catholic,0,526,322986,225944,322986,225944,60092U
Castleknock College,Castleknock,Dublin 15,,Dublin,Boys,Day,No subjects taught through Irish,Yes,Catholic,0,590,308641,236572,308641,236572,60100Q
Mount Sackville Secondary School,Chapelizod,Dublin 20,,Dublin,Girls,Day,No subjects taught through Irish,Yes,Catholic,617,0,309430,235635,309430,235635,60120W
Moyle Park College,Clondalkin,Dublin 22,,Dublin,Boys,Day,No subjects taught through Irish,N,Catholic,0,664,306848,231173,306848,231173,60121B
Col�iste Br�de,New Road,Clondalkin,Dublin 22,Dublin,Girls,Day,No subjects taught through Irish,N,Catholic,949,0,307409,230942,307409,230942,60122D
Loreto Abbey Secondary School,Dalkey,Co Dublin,,Dublin,Girls,Day,No subjects taught through Irish,Yes,Catholic,621,0,326794,227123,326794,227123,60130C
