nome,provincia,gml_id,civico,istat,cap,comune,provincia,regione,lon,lat
Vico G. Superba,BARI,IN.NUMERICIVICI.2012.804877,3,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541868,41.130345
Via Giusti,BARI,IN.NUMERICIVICI.2012.804907,2,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544565,41.128494
Via Diaz,BARI,IN.NUMERICIVICI.2012.804916,38,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54279,41.132648
Via Cadorna,BARI,IN.NUMERICIVICI.2012.804971,7,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543451,41.133289
Provinciale Terlizzi-Sovereto,BARI,IN.NUMERICIVICI.2012.805009,16,16072043,70038,TERLIZZI,BARI,PUGLIA,16.558321,41.12726
Via Giovanni Capoccio,BARI,IN.NUMERICIVICI.2012.805020,14,16072043,70038,TERLIZZI,BARI,PUGLIA,16.548677,41.129517
Via Marco Polo,BARI,IN.NUMERICIVICI.2012.805055,7,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545473,41.12818
Via M. De Vanna,BARI,IN.NUMERICIVICI.2012.805062,19,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538439,41.130488
Vico G. Superba,BARI,IN.NUMERICIVICI.2012.805076,25,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54174,41.130652
Via Mercadante,BARI,IN.NUMERICIVICI.2012.805141,28,16072043,70038,TERLIZZI,BARI,PUGLIA,16.5392,41.129332
Corso Dante,BARI,IN.NUMERICIVICI.2012.805145,8,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542806,41.129235
Via Vittorio Veneto,BARI,IN.NUMERICIVICI.2012.805155,12,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544642,41.130051
Via Rosmini,BARI,IN.NUMERICIVICI.2012.805182,7,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54126,41.130968
Via Carita',BARI,IN.NUMERICIVICI.2012.805236,39,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537759,41.12919
Via Puglia,BARI,IN.NUMERICIVICI.2012.805357,45,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537722,41.133707
Via Puglia,BARI,IN.NUMERICIVICI.2012.805360,23,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538159,41.133439
Via 20 Settembre,BARI,IN.NUMERICIVICI.2012.805366,39,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551482,41.128789
Via Verne,BARI,IN.NUMERICIVICI.2012.805371,24,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546707,41.131666
Via Sabotino,BARI,IN.NUMERICIVICI.2012.805395,8,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544315,41.130867
Via De Gasperi,BARI,IN.NUMERICIVICI.2012.805400,30,16072043,70038,TERLIZZI,BARI,PUGLIA,16.549348,41.129392
Via Leoncavallo,BARI,IN.NUMERICIVICI.2012.805446,7,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537793,41.129825
Via John Fitzgerald Kennedy,BARI,IN.NUMERICIVICI.2012.805470,5,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54172,41.13104
Via M. Bisceglia,BARI,IN.NUMERICIVICI.2012.805521,79,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546377,41.131675
Via Tatoli,BARI,IN.NUMERICIVICI.2012.805535,4,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543083,41.133195
Via Guerrazzi,BARI,IN.NUMERICIVICI.2012.805543,47,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545794,41.129277
Via Albimonti,BARI,IN.NUMERICIVICI.2012.805595,19,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540772,41.130025
Via Riccio da Parma,BARI,IN.NUMERICIVICI.2012.805599,68,16072043,70038,TERLIZZI,BARI,PUGLIA,16.549059,41.127515
Via Pulli,BARI,IN.NUMERICIVICI.2012.805626,29,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544888,41.129071
Via Pietro Nenni,BARI,IN.NUMERICIVICI.2012.805638,19,16072043,70038,TERLIZZI,BARI,PUGLIA,16.552777,41.132006
Via Umberto Giordano,BARI,IN.NUMERICIVICI.2012.805740,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537831,41.129593
Via Tatulli,BARI,IN.NUMERICIVICI.2012.805758,27,16072043,70038,TERLIZZI,BARI,PUGLIA,16.547311,41.132293
Via M. Bisceglia,BARI,IN.NUMERICIVICI.2012.805830,30,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546367,41.130845
Via Aminale,BARI,IN.NUMERICIVICI.2012.806056,15,16072043,70038,TERLIZZI,BARI,PUGLIA,16.550005,41.129779
Viale del Lilium,BARI,IN.NUMERICIVICI.2012.806146,56,16072043,70038,TERLIZZI,BARI,PUGLIA,16.547473,41.124692
Via Farini,BARI,IN.NUMERICIVICI.2012.806241,121,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54695,41.128746
Via Riccio da Parma,BARI,IN.NUMERICIVICI.2012.806247,19,16072043,70038,TERLIZZI,BARI,PUGLIA,16.548984,41.129132
Piazza 4 Novembre,BARI,IN.NUMERICIVICI.2012.806339,5,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542176,41.130867
Via G.B. Ercolani,BARI,IN.NUMERICIVICI.2012.806462,7,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545706,41.130624
Via Risorgimento,BARI,IN.NUMERICIVICI.2012.806467,15,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545522,41.12762
Via Medici,BARI,IN.NUMERICIVICI.2012.806495,34,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545058,41.129719
Via Bellini,BARI,IN.NUMERICIVICI.2012.806502,40,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538475,41.129126
Via Oratorio di Sovereto,BARI,IN.NUMERICIVICI.2012.806539,30,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542944,41.132342
Viale dei Garofani,BARI,IN.NUMERICIVICI.2012.806563,26/h,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544258,41.132805
Via La Mura,BARI,IN.NUMERICIVICI.2012.806622,4,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546231,41.131246
Via Marco Polo,BARI,IN.NUMERICIVICI.2012.806639,16,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545575,41.127958
Via N. Quercia,BARI,IN.NUMERICIVICI.2012.806647,41,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540471,41.13209
Via John Fitzgerald Kennedy,BARI,IN.NUMERICIVICI.2012.806675,8,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541625,41.131267
Via Bovio,BARI,IN.NUMERICIVICI.2012.806677,55,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537632,41.129828
Via Spineto,BARI,IN.NUMERICIVICI.2012.806766,19,16072043,70038,TERLIZZI,BARI,PUGLIA,16.549658,41.124266
Via Piscina Nuova,BARI,IN.NUMERICIVICI.2012.806795,32/25,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544089,41.126796
