COORDINATELAT,COORDINATELON,NOMESITO,INDIRIZZOIMPIANTO
43.880086,11.09691601,PALAZZO PROVINCIA,PIAZZA SAN FRANCESCO
43.880251,11.09670451,WIFICONCENTRATOR-PROVINCIA-PRATO,VIA RICASOLI 25
43.880234,11.09768801,PALAZZO NOVELLUCCI,VIA CAIROLI 25
43.880371,11.09688001,PALAZZO PROVINCIA DIR GENERALE,VIA RICASOLI 25
43.880086,11.09691601,PALAZZO PROVINCIA SALA GIARDINO,VIA RICASOLI 25
43.880391,11.09701701,PALAZZO PROVINCIA SALA SANTORO,VIA RICASOLI 25
43.880171,11.09670601,PALAZZO PROVINCIA PORTINERIA,VIA RICASOLI 25
43.880151,11.09670551,PALAZZO PROVINCIA SALA CONSIGLIO SX,VIA RICASOLI 25
43.880341,11.09601701,PALAZZO PROVINCIA SALA CONSIGLIO DX,VIA RICASOLI 25
43.879715,11.09639301,PALAZZO PROVINCIA UFFICIO TRASPORTI,PIAZZA SAN FRANCESCO
43.88145025,11.0961445,ASSOCIAZIONE CULTURALE MICROCOSMO - PRATO,VIA CARRAIA 25
43.80989593,10.98317997,CIRCOLO ARCI DI BACCHERETO - CARMIGNANO,VIA MOLINACCIO 25
43.93651995,11.12780489,CIRCOLO RICREATIVO CULTURALE ARCI SPOLA D'ORO,VIA FATTORI 4
43.90623633,11.11568414,ASSOCIAZIONE ARCI PRATO S.LUCIA,VIA DEL GUADO 12
43.86443299,11.11317274,CIRCOLO ARCI L. BALLERINI - PRATO,VIA DEL CITTADINO 39
43.86333518,11.13483755,CIRCOLO ARCI I RISORTI - PRATO,VIA FIRENZE 323
43.89300386,11.09845721,CIRCOLO ARCI CURZIO MALAPARTE - PRATO,VIA BOLOGNA 159
43.86690888,11.12838651,CIRCOLO ARCI COSTA AZZURRA - PRATO,VIA FIRENZE 253
43.79278253,11.05653936,CIRCOLO ARCI RINASCITA - CARMIGNANO,VIA ALESSANDRO VOLTA
43.8771307,11.05737688,CIRCOLO ARCI L'UNIONE - PRATO,VIA DI MEZZO 70
44.03294733,11.1430686,CIRCOLO ARCI I PARTIGIANI - VERNIO,VIA LA PIEVE 46
43.81403378,11.05556021,CIRCOLO ARCI L. BECAGLI - POGGIO A CAIANO,VIA ARDENGO SOFFICI 64
43.83533592,11.10555771,CIRCOLO ARCI TRONCI - PRATO,VIA DEL LEONE 25
43.89441462,11.06758232,CIRCOLO ARCI RENZO GRASSI - PRATO,VIA PISTOIESE 502
43.89804324,11.05509581,CIRCOLO ARCI LA LIBERTA - PRATO,VIA PISTOIESE 659
43.84455403,11.08620292,CIRCOLO ARCI PAPERINO - PRATO,VIA DELL' ALLORO 14
43.92299512,11.09243121,CIRCOLO ARCI 29 MARTIRI - PRATO,VIA CANTAGALLO 250
43.896599,11.059592,CASA DI MARTA,VIA PISTOIESE 613/2
43.89453324,11.08240976,CIRCOLO ARCI FAVINI - PRATO,VIA PO 4
43.87948732,11.09423048,BERNARDINI OLGA,VIA DEL PELLEGRINO 10
43.86312342,11.11798112,GIULIANI GIOIELLI S.A.S. DI FABIO GIULIANI & C.,VIA FERRUCCI 480
43.87338629,11.09050534,LABORATORIO ARCHIMEDE S.R.L.,VIA MARCO RONCIONI 4
43.88315831,11.09791535,PUNTO CONTABILE S.N.C. - BUFFETTI BUS,VIA GAETANO MAGNOLFI 39
43.813502,10.996858,AZIENDA AGRICOLA VILLA FLORA DI FISSI LEONARDO,VIA SAN BIAGIO 10
44.09099277,11.15865485,CA' DEL SETTA DI CECCHI STEFANIA,VIA DELLA BADIA 16
43.8832424,11.09706348,PROFUMERIA RISALITI RENZO S.R.L.,VIA DEL SERRAGLIO 11
43.88460877,11.05445485,BIRIBAOLA DI CARIATI STEFANO & C. S.A.S.,VIA RENATO MANNOCCI 22
43.87365338,11.06577856,OMNIA CENTER S.R.L. - 55,VIA DELLE PLEIADI 18
43.87365328,11.06577846,OMNIA CENTER S.R.L. - 56,VIA DELLE PLEIADI 18
43.87365318,11.06577836,OMNIA CENTER S.R.L. - 57,VIA DELLE PLEIADI 18
43.87365308,11.06577826,OMNIA CENTER S.R.L. - 58,VIA DELLE PLEIADI 18
43.87365298,11.06577816,OMNIA CENTER S.R.L. - 59,VIA DELLE PLEIADI 18
43.96492315,11.10583689,CINTELLI DI CINTELLI ELISA E C. S.N.C.,VIA EMILIO BERTINI 23
43.8782235,11.05487501,CLO S.R.L.,VIA TOBBIANESE 3
43.880337,11.099176,MONASH UNIVERSITY,VIA PUGLIESI 26
43.87822122,11.08959859,AZIENDA U.S.L. N. 4 DI PRATO,VIA CAVOUR 118
43.87514358,11.08743743,AZIENDA U.S.L. N. 4 DI PRATO,VIA LAVARONE
43.880437,11.099276,ORDINE DEI COMMERCIALISTI - PRATO,VIA PUGLIESI 26
43.81414618,11.05806127,ACI - POGGIO A CAIANO,PIAZZA IV NOVEMBRE
43.92727929,11.03694988,COMUNE DI MONTEMURLO,PIAZZA MARTIRI DELLA LIBERTA
43.92727829,11.03694888,COMUNE DI MONTEMURLO,PIAZZA MARTIRI DELLA LIBERTA
43.96622163,11.12564278,ACI - VAIANO,VIA GIULIO BRAGA 82
43.86027722,11.10611371,QUESTURA DI PRATO,VIA MIGLIORE DI CINO 10
43.78313964,11.03690729,MUSEO DI SCIENZE PLANETARIE,VIA GALCIANESE 20 H
43.880537,11.099376,MONASH UNIVERSITY,VIA PUGLIESI 26
43.92727729,11.03694788,COMUNE DI MONTEMURLO,PIAZZA MARTIRI DELLA LIBERTA
43.82958391,11.02107648,BIBLIOTECA COMUNALE PALAZZESCHI - SEANO,VIA FEDERIGO TOZZI
44.02823191,11.10716969,PALAZZO COMUNALE DI CANTAGALLO,VIA VERDI 24
43.968758,11.12389,Piazza del Comune DI VAIANO,PIAZZA DEL COMUNE 4
43.815927,11.057898,BIBLIOTECA - POGGIO A CAIANO,VIA LORENZO IL MAGNIFICO
44.02823191,11.10716969,SCUOLA ELEMENTARE CARMIGNANELLO,VIA BOLOGNA
44.00192792,11.13950415,MUSEO - EX MEUCCI - MERCATALE DI VERNIO,VIA DELLA POSTA VECCHIA
43.962411,11.128315,SALA POLIVALENTE VAIANO,VIA ALDO MORO 6
43.78313964,11.03690729,VILLA MEDICEA LA FERDINANDA - MUSEO ARTIMINO,VIA PAPA GIOVANNI XXIII
43.85520427,11.08001075,AZIENDA U.S.L. N. 4 DI PRATO,VIA ROMA 427
43.878113,11.101453,IDEA TELEFONIA,PZZA SAN MARCO
43.81413564,11.01825115,PALAZZO COMUNALE - CARMIGNANO,PIAZZA GIACOMO MATTEOTTI
44.05356448,11.15600485,PALAZZO COMUNALE - VERNIO,PIAZZA DEL COMUNE
43.86666696,11.11130835,ACI PRATO - VIA FERRUCCI 195,VIA FERRUCCI 195
