Lat,Long,District,Decision
53.29565285,-6.260654429,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28036061,-6.141088361,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.26826402,-6.229464911,Dun Laoghaire Rathdown,WITHDRAW THE APPLICATION
53.29388034,-6.251335322,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26209213,-6.170132482,Dun Laoghaire Rathdown,GRANT PERMISSION
53.23671025,-6.130960795,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28817427,-6.256875578,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29346173,-6.147595942,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30736557,-6.196467623,Dun Laoghaire Rathdown,GRANT PERMISSION
53.24189581,-6.122428875,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2696724,-6.158814109,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25028474,-6.216440539,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.27193573,-6.129524405,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.30765549,-6.235653602,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.28188067,-6.154826421,Dun Laoghaire Rathdown,DECLARE APPLICATION WITHDRAWN
53.25112531,-6.120482945,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27766404,-6.260118489,Dun Laoghaire Rathdown,GRANT PERMISSION
53.23858234,-6.192813849,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.27791047,-6.162846172,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27780912,-6.108391519,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.25805428,-6.291212039,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28691354,-6.135202818,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.2454945,-6.185346949,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29717454,-6.245045926,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27065177,-6.225468426,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.27324555,-6.24569693,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28180874,-6.114126109,Dun Laoghaire Rathdown,GRANT PERMISSION
53.24840054,-6.254415042,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26484539,-6.145989841,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29477361,-6.131138986,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29125227,-6.163505452,Dun Laoghaire Rathdown,GRANT PERMISSION
53.22595183,-6.124424318,Dun Laoghaire Rathdown,GRANT PERMISSION
53.22595183,-6.124424318,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27310386,-6.095525007,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2581613,-6.115420448,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27848388,-6.163144455,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2954575,-6.152537911,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28455066,-6.200916984,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29329573,-6.178892097,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28033337,-6.248667996,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2803458,-6.248536703,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27399574,-6.130280538,Dun Laoghaire Rathdown,GRANT PERMISSION
53.23322172,-6.163904487,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2867557,-6.127333805,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28234364,-6.139340448,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28651208,-6.131184147,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28869633,-6.244207801,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.29955256,-6.173004674,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28926991,-6.213846991,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29221308,-6.178019463,Dun Laoghaire Rathdown,GRANT PERMISSION
53.21156353,-6.116526487,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28844746,-6.158171034,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27410206,-6.100291087,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28102936,-6.134472555,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28832456,-6.155425677,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27947834,-6.134730237,Dun Laoghaire Rathdown,DECLARE APPLICATION WITHDRAWN
53.29576012,-6.202326413,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29438095,-6.143199246,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26376248,-6.168731542,Dun Laoghaire Rathdown,GRANT PERMISSION
53.24222059,-6.125584152,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27213915,-6.104220097,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27889751,-6.139326746,Dun Laoghaire Rathdown,GRANT PERMISSION & REFUSE PERMISSION
53.2805562,-6.128312203,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27564688,-6.113129826,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28876582,-6.239404518,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29795947,-6.183713978,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29046318,-6.149186821,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27593951,-6.13575992,Dun Laoghaire Rathdown,GRANT PERMISSION
53.3140052,-6.235032983,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29459172,-6.153592915,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29170315,-6.176671752,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27912073,-6.266054141,Dun Laoghaire Rathdown,GRANT PERMISSION
53.280851,-6.177254232,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29798273,-6.246246469,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.23535199,-6.190781853,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30097146,-6.173277033,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30287444,-6.234625621,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27436237,-6.170084006,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2892228,-6.129446295,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27305202,-6.16837318,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30179472,-6.260934408,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27121568,-6.202764066,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27906721,-6.121411392,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2115787,-6.11341164,Dun Laoghaire Rathdown,GRANT PERMISSION
