Latitude,Longitude,Number of casualties,Time of accident
53.965099,-1.074261,1,23:58:00
53.940005,-0.94464,1,06:24:00
53.959348,-1.07669,1,11:40:00
53.959028,-1.088982,1,14:25:00
53.955441,-1.080663,1,21:15:00
53.955352,-1.126521,1,07:45:00
53.959581,-1.090814,1,18:10:00
53.955149,-1.149568,1,12:20:00
53.961143,-1.079882,1,13:15:00
54.01827,-1.070242,2,13:15:00
54.000849,-1.073575,4,13:25:00
53.915422,-1.054745,1,06:02:00
54.006146,-1.093995,1,11:25:00
53.958178,-1.091835,1,07:35:00
53.955684,-1.124015,1,13:30:00
53.953908,-1.095341,1,08:35:00
53.922984,-1.148881,1,14:10:00
53.959034,-1.079197,1,14:15:00
53.949322,-1.14798,2,09:07:00
53.967869,-1.081441,1,08:30:00
53.960355,-1.051443,2,19:00:00
53.945909,-1.134413,1,11:30:00
53.989949,-1.086751,2,18:35:00
53.954928,-1.070082,1,18:14:00
53.963412,-1.086279,1,18:20:00
53.987232,-1.068875,1,18:30:00
53.99744,-1.090874,1,10:13:00
53.965478,-1.063979,1,10:56:00
53.978396,-1.055074,3,17:20:00
53.922319,-1.131277,4,17:30:00
53.965278,-1.07409,1,18:30:00
53.984782,-1.022949,1,17:30:00
53.940772,-1.111667,1,08:55:00
53.990631,-1.023742,2,10:07:00
53.96227,-1.105312,2,08:23:00
53.953036,-1.13934,1,05:14:00
53.9572,-1.129683,1,08:45:00
53.950891,-1.075627,1,16:33:00
53.95898,-1.079167,1,20:24:00
54.037158,-1.038732,1,12:13:00
53.960088,-1.075973,1,17:10:00
53.978752,-1.106209,1,17:00:00
53.986456,-1.018777,1,18:25:00
53.956122,-1.092169,1,08:17:00
53.926796,-1.119076,1,05:45:00
53.977792,-1.070885,1,14:45:00
53.963375,-1.086219,1,20:00:00
53.950599,-1.129272,1,21:48:00
53.954418,-1.063388,1,16:15:00
53.953817,-1.046349,1,17:00:00
54.016087,-1.071649,1,16:50:00
53.956572,-1.081659,1,14:44:00
53.941898,-1.08678,1,08:55:00
53.954169,-1.081254,1,13:10:00
53.917392,-1.146148,2,13:00:00
53.98368,-1.064074,1,18:24:00
53.943472,-1.126922,1,17:10:00
53.919066,-1.154108,2,07:00:00
53.943889,-1.121123,1,12:30:00
53.951306,-1.130065,1,18:45:00
53.968284,-1.10192,1,17:15:00
53.966994,-1.092893,1,17:35:00
53.955854,-1.123813,1,08:33:00
53.938118,-0.983305,1,15:02:00
53.889901,-1.04534,1,14:47:00
53.965477,-1.063811,1,13:49:00
53.963141,-1.13465,1,08:45:00
53.99248,-1.096961,1,18:20:00
53.953869,-1.052962,1,08:50:00
53.954,-1.102807,1,15:50:00
53.986149,-1.084699,1,20:40:00
53.974329,-1.060197,2,18:20:00
53.91303,-1.138168,1,20:00:00
53.958954,-1.07932,1,10:50:00
53.96586,-1.083162,1,12:15:00
53.959435,-1.088134,1,15:02:00
53.966292,-1.091552,1,09:00:00
53.976165,-0.970516,2,22:50:00
53.95454,-1.076888,1,14:20:00
53.965874,-1.06176,1,00:02:00
53.952157,-1.059355,1,15:10:00
53.952983,-1.075398,1,10:15:00
53.889426,-1.045411,1,20:25:00
53.948124,-1.126261,2,12:30:00
53.9532,-1.068566,1,11:10:00
54.002082,-1.012718,2,10:00:00
53.96318,-1.117837,1,14:20:00
53.992123,-1.108165,1,12:45:00
53.963394,-1.086265,1,07:15:00
53.962419,-1.115795,1,15:20:00
53.933564,-1.112917,1,22:55:00
53.991978,-1.099565,1,21:20:00
53.970677,-1.081959,1,15:00:00
53.952232,-1.08183,1,18:15:00
53.973546,-1.045273,3,12:03:00
53.959961,-1.026852,1,15:20:00
53.95354,-1.030827,1,16:05:00
53.967074,-1.082129,1,07:10:00
53.963609,-1.076779,1,17:30:00
53.952259,-1.068892,1,13:25:00
53.975582,-1.08862,1,00:30:00
53.966621,-1.047048,1,02:04:00
53.950019,-1.128598,1,16:05:00
53.943989,-1.121289,1,17:26:00
53.95752,-1.083284,1,22:45:00
53.954159,-1.059005,1,09:25:00
53.960376,-1.081804,1,23:50:00
53.99636,-1.090638,4,10:15:00
53.946275,-1.073886,1,08:30:00
53.956589,-1.149904,1,12:15:00
53.89625,-0.964355,1,14:12:00
53.957103,-1.013644,1,15:40:00
53.95645,-1.070475,1,06:38:00
53.941042,-1.059803,2,15:40:00
53.973316,-1.148527,1,11:15:00
53.952574,-1.072481,3,11:17:00
53.923488,-1.123958,2,16:31:00
53.951682,-1.107824,1,16:25:00
53.959968,-1.072104,1,10:00:00
53.925579,-1.145935,1,19:51:00
53.956246,-1.13205,1,08:53:00
53.95083,-1.12145,1,07:15:00
53.962661,-1.077364,1,16:00:00
53.934836,-1.118465,1,18:15:00
53.987654,-1.068804,2,19:50:00
53.948677,-1.100178,1,09:45:00
