Quarter Year,NI Detached Property Price Index,NI SemiDetached Property Price Index,NI Terrace Property Price Index,NI Apartment Price Index,NI Residential Property Price Index
Q1 2005,95.5,95.3,108.7,115.3,100.9
Q2 2005,101.0,100.4,110.3,111.8,104.6
Q3 2005,107.5,105.3,119.0,117.0,111.2
Q4 2005,110.3,109.7,123.4,120.5,115.1
Q1 2006,112.3,113.0,127.3,127.2,118.4
Q2 2006,120.0,124.2,143.2,134.1,129.7
Q3 2006,132.5,137.7,161.6,152.3,144.7
Q4 2006,145.9,154.7,182.5,174.6,162.1
Q1 2007,159.3,171.1,204.4,192.4,179.3
Q2 2007,181.7,188.7,213.2,205.9,195.4
Q3 2007,198.0,192.0,217.7,205.5,202.5
Q4 2007,186.9,181.7,209.2,202.5,193.1
Q1 2008,169.6,169.6,193.1,197.5,178.8
Q2 2008,157.9,162.8,177.5,188.8,167.5
Q3 2008,141.3,144.4,164.3,170.9,151.5
Q4 2008,133.7,131.2,147.6,155.7,138.6
Q1 2009,118.4,119.8,137.4,141.3,126.4
Q2 2009,121.5,121.3,136.9,140.5,127.5
Q3 2009,121.5,121.2,137.8,141.7,127.9
Q4 2009,123.3,122.2,136.4,138.4,128.0
Q1 2010,122.2,116.4,126.5,134.8,122.3
Q2 2010,120.2,118.1,123.2,133.0,121.3
Q3 2010,120.2,115.3,119.4,132.6,119.1
Q4 2010,113.0,110.4,112.6,116.0,112.2
Q1 2011,109.5,104.7,106.0,117.0,107.3
Q2 2011,105.0,105.0,105.5,111.1,105.6
Q3 2011,106.5,102.3,101.4,110.1,103.8
Q4 2011,104.3,99.7,98.0,104.7,100.8
Q1 2012,96.5,96.9,89.9,93.4,94.4
Q2 2012,97.1,93.5,92.6,97.4,94.6
Q3 2012,94.0,92.2,90.1,90.7,92.0
Q4 2012,91.1,90.2,87.8,90.7,89.8
Q1 2013,90.9,89.1,84.5,83.7,87.8
Q2 2013,92.8,89.3,87.3,85.4,89.4
Q3 2013,94.0,91.5,89.7,84.9,91.2
Q4 2013,93.7,91.4,90.5,91.5,91.8
Q1 2014,94.6,93.4,92.6,90.9,93.4
Q2 2014,98.0,96.5,95.6,93.5,96.5
Q3 2014,98.7,98.5,97.9,97.8,98.4
Q4 2014,100.6,99.8,99.1,99.2,99.8
Q1 2015,100.0,100.0,100.0,100.0,100.0
Q2 2015,103.0,103.4,102.3,104.5,103.1
Q3 2015,105.9,106.2,106.2,106.4,106.1
Q4 2015,107.2,105.8,108.3,106.9,107.0
Q1 2016,107.3,104.7,108.4,111.7,107.1
Q2 2016,109.2,109.7,114.2,113.4,111.1
Q3 2016,112.0,111.2,114.3,111.6,112.4
Q4 2016,112.3,111.3,114.2,118.9,113.1
