AIRO_ID,Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,M_13_14,F_13_14,T_13_14,xcoord,ycoord,Long,Lat
234,01197D,STRAWBERRY HILL B N S,SUNDAYS WELL,CORK,,,Cork,CATHOLIC,N,Y,N,177,0,177,165606,72135,-8.49974,51.9005
235,02707F,SUNDAYS WELL G N S,CORK,CO CORK,,,Cork,CATHOLIC,N,Y,N,0,166,166,165572,72134,-8.50024,51.9004
236,05940D,SCOIL URSULA,BLACKROCK,CO CORK,,,Cork,CATHOLIC,N,Y,N,69,87,156,171543,71548,-8.41343,51.8955
237,12203G,S N NAOMH ANTAINE,BALLINLOUGH,CORK,,,Cork,CATHOLIC,N,N,N,796,0,796,169211,70701,-8.44724,51.8878
238,12473M,GREENMOUNT MONASTERY NS,SCOIL MUIRE NA NGRAS,GREENMOUNT,CO CORK,,Cork,CATHOLIC,N,Y,N,165,104,269,166982,71056,-8.47965,51.8908
239,13648D,ST LUKES MXD N S,MAHONYS AVE,CORK,,,Cork,CHURCH OF IRELAND,N,N,N,43,44,87,168626,72465,-8.45589,51.9036
240,13696O,ST VINCENTS CONVENT N S,ST MARYS ROAD,CORK,,,Cork,CATHOLIC,N,Y,N,50,259,309,167016,72685,-8.47931,51.9055
241,13980L,S N B TOGHER CORK,TOGHER,CORK,,,Cork,CATHOLIC,N,N,N,308,0,308,165859,69164,-8.49577,51.8738
242,14000C,SCOIL NAOMH MHUIRE,N MHUIRE AN OILEAIN,Bishop Street,CORK,,Cork,CATHOLIC,N,Y,N,77,148,225,166953,71476,-8.48011,51.8946
243,14198D,NAOMH EOIN EASPAL,MAYFIELD,CO CORK,,,Cork,CATHOLIC,N,Y,N,107,0,107,170341,73639,-8.43108,51.9142
244,15781P,BALLINTEMPLE N S,BALLINTEMPLE N S,CRAB LANE,CORK,,Cork,CATHOLIC,N,N,N,111,102,213,169782,71248,-8.43899,51.8927
245,16339F,S N IOSEF NAOFA,MARDYKE,CORK,,,Cork,CATHOLIC,N,N,N,214,0,214,166504,71694,-8.48665,51.8965
246,16680O,SCOIL COLMCILLE,BLARNEY ST,CORK,,,Cork,CATHOLIC,N,Y,N,196,0,196,166795,72191,-8.48247,51.901
247,17024I,SCOIL NA CROISE NAOFA,MAHON,CORK,,,Cork,CATHOLIC,N,Y,N,131,96,227,172376,71369,-8.40132,51.8939
248,17045Q,ST PATRICKS B N S,BALLYHOOLEY ROAD,CORK,,,Cork,CATHOLIC,N,Y,N,215,0,215,168758,72861,-8.45401,51.9072
249,17105I,MUIRE GAN SMAL C,GLASHEEN,CORK,,,Cork,CATHOLIC,N,Y,N,1,201,202,165711,70581,-8.49806,51.8865
250,17313P,OUR LADY OF LOURDES,BALLINLOUGH,CORK,,,Cork,CATHOLIC,N,N,N,0,250,250,168738,70891,-8.45412,51.8895
251,17993R,SCOIL MHUIRE GAN SMAL B,GLASHEEN,CORK,,,Cork,CATHOLIC,N,Y,N,320,0,320,165711,70581,-8.49806,51.8865
252,18153B,S N PADRAIG NAOFA C,DILLONS CROSS,CORK,,,Cork,CATHOLIC,N,Y,N,0,225,225,168769,72942,-8.45386,51.9079
253,18154D,S N PADRAIG NAOFA,DILLONS CROSS,CORK,,,Cork,CATHOLIC,N,Y,N,81,52,133,168745,72847,-8.4542,51.907
