Planning_Authority,Tier,Planning_Reference,ITM_X_Coordinate,ITM_Y_Coordinate,Planning_Permission_(Units_Permitted),Units_Completed_to_Date,Units_Under_Construction,Activity_On_Site,Units_Permitted_But_Not_Commenced,Planning_Search_URL
Dublin City Council,1,3838/10,718632,736248,19,14,1,Yes,4,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3657/13,717282,737681,69,63,6,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3021/14,715491,739140,42,0,7,Yes,35,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3664/14,716932,733035,12,0,12,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,2651/14,719006,736775,18,0,13,Yes,5,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,2250/15,715780,730013,34,21,13,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3248/14,716848,732072,13,0,13,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,2525/13,713280,738605,49,35,14,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,2270/15,716791,734236,14,0,14,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3563/09,719362,739072,16,2,14,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,2792/14,714587,734357,15,0,15,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3884/14,716514,735460,16,0,16,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3910/15,722694,738415,16,0,16,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,4049/09,717770,731982,25,0,25,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3802/14,722549,741200,99,61,28,Yes,10,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,DSDZ2663/16,717697,734166,28,0,28,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3871/14,714063,730393,51,0,28,Yes,23,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,2610/16,722622,741071,113,0,41,Yes,72,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,2991/15,716856,736739,137,0,42,Yes,95,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,2296/16,721995,741257,48,0,42,Yes,6,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3069/14,712270,737583,243,67,47,Yes,129,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,3326/16,715329,730068,209,0,81,Yes,128,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
Dublin City Council,1,4798/07,717728,732723,86,0,86,Yes,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
