SURNAME,TITLE,POST-NOMINALS,SALUTATION,PARTY,ELECTORATE,MINISTRY,CONTACT ADDRESS LINE1,CONTACT ADDRESS LINE2,CONTACT ADDRESS LINE3,CONTACT ADDRESS SUBURB,CONTACT ADDRESS STATE,CONTACT ADDRESS POSTCODE,CONTACT ADDRESS POBOX ,CONTACT ADDRESS POBOX SUBURB,CONTACT ADDRESS POBOX STATE,CONTACT ADDRESS POBOX POSTCODE,CONTACT ADDRESS EMAIL,CONTACT ADDRESS PHONE,CONTACT ADDRESS FAX,CONTACT ADDRESS WEBSITE,MINISTERIAL OFFICE ADDRESS LINE1,MINISTERIAL OFFICE ADDRESS LINE2,MINISTERIAL OFFICE ADDRESS LINE3,MINISTERIAL OFFICE ADDRESS SUBURB,MINISTERIAL OFFICE ADDRESS STATE,MINISTERIAL OFFICE ADDRESS POSTCODE,MINISTERIAL OFFICE POBOX ,MINISTERIAL OFFICE POBOX SUBURB,MINISTERIAL OFFICE POBOX STATE,MINISTERIAL OFFICE POBOX POSTCODE,MINISTERIAL OFFICE EMAIL,MINISTERIAL OFFICE PHONE,MINISTERIAL OFFICE FAX,MINISTERIAL OFFICE WEBSITE,,,OFFICE HOLDER
Amery,The Hon.,M.P.,Mr Amery,Australian Labor Party,Mount Druitt,,Office Suite 201,Westfield Shoppingtown,Carlisle Avenue,MOUNT DRUITT,NSW,2770,,,,,mountdruitt@parliament.nsw.gov.au,(02) 9625 6770,(02) 9625 9965,,,,,,,,,,,,,,,,,,Opposition Whip
Anderson,Mr,M.P.,Mr Anderson,The Nationals,Tamworth,,Ground Floor,13 Fitzroy Street,,TAMWORTH,NSW,2340,,,,,tamworth@parliament.nsw.gov.au,(02) 6766 1422,(02) 6766 6765,,,,,,,,,,,,,,,,,,
Annesley,The Hon.,M.P.,Minister,Liberal Party,Miranda,Minister for Sport and Recreation,577 Kingsway,,,MIRANDA,NSW,2228,,,,,miranda@parliament.nsw.gov.au,(02) 9525 6378,(02) 9540 2517,,Level 33 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@annesley.minister.nsw.gov.au,(02) 9228 5259,(02) 9228 5727,,,,
Aplin,Mr,M.P. BA(Hons),Mr Aplin,Liberal Party,Albury,,612 Dean Street,,,ALBURY,NSW,2640,,,,,albury@parliament.nsw.gov.au,(02) 6021 3042,(02) 6021 8884,,,,,,,,,,,,,,,,,,
Ayres,Mr,M.P.,Mr Ayres,Liberal Party,Penrith,,Shop 23 Ground Floor,Penrith Centre,510-534 High Street,PENRITH,NSW,2750,,,,,penrith@parliament.nsw.gov.au,4722 8660,4731 4782,,,,,,,,,,,,,,,,,,Deputy Government Whip
Baird,The Hon.,M.P.,Minister,Liberal Party,Manly,Treasurer; and Minister for Industrial Relations,Shop 2,2 Wentworth Street,,MANLY,NSW,2095,,,,,manly@parliament.nsw.gov.au,(02) 9976 2773,(02) 9976 2993,,Level 36 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@treasurer.nsw.gov.au,(02) 9228 5274,(02) 9228 3942,,,,
Barilaro,Mr,M.P.,Mr Barilaro,The Nationals,Monaro,,110-112 Monaro Street,,,QUEANBEYAN,NSW,2620,,,,,monaro@parliament.nsw.gov.au,(02) 6299 4899,(02) 6297 9998,,,,,,,,,,,,,,,,,,Acting Speaker
Barr,Mr,M.P. BEd,Mr Barr,Australian Labor Party,Cessnock,,118 Vincent Street,,,CESSNOCK,NSW,2325,PO Box 242,Cessnock,NSW,2325,cessnock@parliament.nsw.gov.au,(02) 4991 1466,(02) 4991 1103,,,,,,,,,,,,,,,,,,
Bassett,Mr,M.P.,Mr Bassett,Liberal Party,Londonderry,,Shop 12,82 Victoria Street,,WERRINGTON,NSW,2747,,,,,londonderry@parliament.nsw.gov.au,(02) 9833 1122,(02) 9623 1185,,,,,,,,,,,,,,,,,,
Baumann,Mr,M.P. BE(Civil)(Hons) FIEAust,Mr Baumann,Liberal Party,Port Stephens,,1/82 Port Stephens Street,,,RAYMOND TERRACE,NSW,2324,,,,,portstephens@parliament.nsw.gov.au,(02) 4987 4455,(02) 4987 4466,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Berejiklian,The Hon.,M.P. BA DIntS MCom,Minister,Liberal Party,Willoughby,Minister for Transport,280 Willoughby Road,,,NAREMBURN,NSW,2065,,,,,willoughby@parliament.nsw.gov.au,(02) 9439 4199,(02) 9439 9299,,Level 35 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@berejiklian.minister.nsw.gov.au,(02) 9228 5266,(02) 9228 3744,,,,
Bromhead,Mr,M.P. LLM,Mr Bromhead,The Nationals,Myall Lakes,,Room F6 Bridgepoint Building,Lot 1-5 Manning Street,,TUNCURRY,NSW,2428,,,,,myalllakes@parliament.nsw.gov.au,(02) 6555 4099,(02) 6555 4780,,,,,,,,,,,,,,,,,,
Brookes,Mr,M.P.,Mr Brookes,Liberal Party,East Hills,,20 Revesby Place,,,REVESBY,NSW,2212,,,,,easthills@parliament.nsw.gov.au,(02) 9772 2774,(02) 9792 1718,,,,,,,,,,,,,,,,,,
Burney,The Hon.,M.P. HonDEd DipEd,Ms Burney,Australian Labor Party,Canterbury,,Suites 201 & 202 Level 2,308-312 Beamish Street,,CAMPSIE,NSW,2194,,,,,linda.burney@parliament.nsw.gov.au,(02) 9718 1234,(02) 9787 1999,,,,,,,,,,,,,,,,,,
Burton,Ms,M.P.,Ms Burton,Australian Labor Party,Kogarah,,Suite 1 Ground Floor,22-24 Regent Street,,KOGARAH,NSW,2217,,,,,kogarah@parliament.nsw.gov.au,(02) 9587 9684,(02) 9588 7138,,,,,,,,,,,,,,,,,,
Casuscelli,Mr,M.P. RFD,Mr Casuscelli,Liberal Party,Strathfield,,Shop 1,54 Burwood Road,,BURWOOD,NSW,2134,,,,,strathfield@parliament.nsw.gov.au,(02) 9747 1711,(02) 9747 6054,,,,,,,,,,,,,,,,,,
Conolly,Mr,M.P. BA DipEd GradDipRS GradDipEd,Mr Conolly,Liberal Party,Riverstone,,Shop 20 Stanhope Village,2 Sentry Drive,,STANHOPE GARDENS,NSW,2768,,,,,riverstone@parliament.nsw.gov.au,(02) 8883 3499,(02) 8883 3355,,,,,,,,,,,,,,,,,,
Constance,The Hon.,M.P.,Minister,Liberal Party,Bega,Minister for Ageing; and Minister for Disability Services,122 Carp Street,,,BEGA,NSW,2550,,,,,bega@parliament.nsw.gov.au,(02) 6492 2056,(02) 6492 3578,,Level 34 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@constance.minister.nsw.gov.au,(02) 9228 5263,(02) 9228 5500,,,,
Cornwell,Mr,M.P.,Mr Cornwell,Liberal Party,Charlestown,,Unit 3,313 Charlestown Road,,CHARLESTOWN,NSW,2290,,,,,charlestown@parliament.nsw.gov.au,(02) 4942 1242,(02) 4942 1060,,,,,,,,,,,,,,,,,,
Coure,Mr,M.P.,Mr Coure,Liberal Party,Oatley,,8 Ormonde Parade,,,HURSTVILLE,NSW,2220,,,,,oatley@parliament.nsw.gov.au,(02) 9580 9349,(02) 9580 9103,,,,,,,,,,,,,,,,,,
Daley,Mr,M.P. DipLaw,Mr Daley,Australian Labor Party,Maroubra,,Level 5,806 Anzac Parade,,MAROUBRA,NSW,2035,,,,,maroubra@parliament.nsw.gov.au,(02) 9349 6440,(02) 9349 4594,,,,,,,,,,,,,,,,,,
