Accident Location,No of Accidents
AIRPORT,172
BALBRIGGAN RURAL,72
BALBRIGGAN URBAN,41
BALDOYLE,55
BALGRIFFIN,110
BALLYBOGHIL,6
BALSCADDEN,7
BLANCHARDSTOWN-ABBOTSTOWN,139
BLANCHARDSTOWN-BLAKESTOWN,115
BLANCHARDSTOWN-COOLMINE,162
BLANCHARDSTOWN-CORDUFF,38
BLANCHARDSTOWN-DELWOOD,29
BLANCHARDSTOWN-MULHUDDART,24
BLANCHARDSTOWN-ROSELAWN,31
BLANCHARDSTOWN-TYRRELSTOWN,26
CASTLEKNOCK-KNOCKMAROON,88
CASTLEKNOCK-PARK,67
CLONMETHAN,9
DONABATE,60
DUBBER,133
GARRISTOWN,11
HOLLYWOOD,18
HOLMPATRICK,63
HOWTH,116
KILSALLAGHAN,30
KINSALEY,88
LUCAN NORTH,36
LUSK,163
MALAHIDE EAST,74
MALAHIDE-WEST,49
PORTMARNOCK NORTH,26
PORTMARNOCK SOUTH,38
RUSH,50
SKERRIES,29
SUTTON,50
SWORDS-GLASMORE,42
SWORDS-FORREST,81
SWORDS-LISSENHALL,74
SWORDS-SEATOWN,57
SWORDS-VILLAGE,77
THE WARD,129
TURNAPIN,33
